combo_id,work_sharing,schedule_kind,schedule_chunk,task_chunk_size,num_threads,proc_bind,places,wait_policy,dynamic,iterations,cpu_set,num_threads_actual,pool_create,fork_join_min,serial_min,parallel_min,pure_parallel,speedup_total,speedup_pure,acc,wall_time_sec,status,stderr
0,parallel_for,static,0,NA,1,NA,NA,active,false,1000,auto,1,10175,1739,34373,35853,34114,0.958720,1.007592,336,0.0020,ok,
1,parallel_for,static,0,NA,1,NA,NA,active,false,10000,auto,1,6031,1739,839863,840159,838420,0.999648,1.001721,2458,0.0028,ok,
2,parallel_for,static,0,NA,1,NA,NA,active,false,100000,auto,1,5809,1702,15537928,15577629,15575927,0.997451,0.997560,19184,0.0279,ok,
3,parallel_for,static,0,NA,1,NA,NA,active,false,1000000,auto,1,7733,2035,368839162,368468903,368466868,1.001005,1.001010,156996,0.6109,ok,
4,parallel_for,static,0,NA,1,NA,NA,active,false,10000000,auto,1,8658,2183,9355022872,9248173791,9248171608,1.011554,1.011554,1329158,15.5987,ok,
5,parallel_for,static,0,NA,2,close,cores,active,false,1000,auto,2,223924,3182,33485,23421,20239,1.429700,1.654479,336,0.0024,ok,
6,parallel_for,static,0,NA,2,close,cores,active,false,10000,auto,2,175898,2923,786287,484145,481222,1.624073,1.633938,2458,0.0030,ok,
7,parallel_for,static,0,NA,2,close,cores,active,false,100000,auto,2,201761,2960,14964835,9147325,9144365,1.635979,1.636509,19184,0.0226,ok,
8,parallel_for,static,0,NA,2,close,cores,active,false,1000000,auto,2,154586,2960,364475012,225959999,225957039,1.613007,1.613028,156996,0.4813,ok,
9,parallel_for,static,0,NA,2,close,cores,active,false,10000000,auto,2,192770,2997,9235803988,5772633181,5772630184,1.599929,1.599930,1329158,12.1941,ok,
10,parallel_for,static,0,NA,4,close,cores,active,false,1000,auto,4,347726,3626,37444,14726,11100,2.542714,3.373333,336,0.0017,ok,
11,parallel_for,static,0,NA,4,close,cores,active,false,10000,auto,4,360454,3626,712287,232767,229141,3.060086,3.108510,2458,0.0024,ok,
12,parallel_for,static,0,NA,4,close,cores,active,false,100000,auto,4,325230,3663,14706501,4817437,4813774,3.052765,3.055088,19184,0.0187,ok,
13,parallel_for,static,0,NA,4,close,cores,active,false,1000000,auto,4,302993,3367,359534735,119230021,119226654,3.015472,3.015557,156996,0.3904,ok,
14,parallel_for,static,0,NA,4,close,cores,active,false,10000000,auto,4,355237,3552,9243156295,3091990100,3091986548,2.989387,2.989391,1329158,10.0115,ok,
15,parallel_for,static,0,NA,6,close,cores,active,false,1000,auto,6,558552,3996,37222,11063,7067,3.364548,5.267016,336,0.0017,ok,
16,parallel_for,static,0,NA,6,close,cores,active,false,10000,auto,6,451881,3219,712287,197321,194102,3.609788,3.669653,2458,0.0022,ok,
17,parallel_for,static,0,NA,6,close,cores,active,false,100000,auto,6,548747,3959,14756192,3272206,3268247,4.509555,4.515017,19184,0.0185,ok,
18,parallel_for,static,0,NA,6,close,cores,active,false,1000000,auto,6,413623,2923,359999122,81318526,81315603,4.427025,4.427184,156996,0.3597,ok,
19,parallel_for,static,0,NA,6,close,cores,active,false,10000000,auto,6,462611,3330,9262650633,2115205196,2115201866,4.379079,4.379086,1329158,9.2416,ok,
20,parallel_for,static,0,NA,8,close,cores,active,false,1000,auto,8,759314,5439,37333,13431,7992,2.779614,4.671296,336,0.0017,ok,
21,parallel_for,static,0,NA,8,close,cores,active,false,10000,auto,8,600991,4366,712879,153994,149628,4.629265,4.764342,2458,0.0024,ok,
22,parallel_for,static,0,NA,8,close,cores,active,false,100000,auto,8,661967,5624,15650408,2577087,2571463,6.072906,6.086188,19184,0.0170,ok,
23,parallel_for,static,0,NA,8,close,cores,active,false,1000000,auto,8,705109,5402,378048610,64597301,64591899,5.852390,5.852880,156996,0.3614,ok,
24,parallel_for,static,0,NA,8,close,cores,active,false,10000000,auto,8,609834,4477,9733938762,1683170145,1683165668,5.783099,5.783114,1329158,9.2661,ok,
25,parallel_for,static,0,NA,12,close,cores,active,false,1000,auto,12,1067968,6438,35890,13579,7141,2.643052,5.025907,336,0.0019,ok,
26,parallel_for,static,0,NA,12,close,cores,active,false,10000,auto,12,880489,6364,712287,87468,81104,8.143401,8.782391,2458,0.0023,ok,
27,parallel_for,static,0,NA,12,close,cores,active,false,100000,auto,12,1015169,6586,15556058,1900357,1893771,8.185861,8.214329,19184,0.0173,ok,
28,parallel_for,static,0,NA,12,close,cores,active,false,1000000,auto,12,923890,5624,385089451,47317450,47311826,8.138424,8.139391,156996,0.3532,ok,
29,parallel_for,static,0,NA,12,close,cores,active,false,10000000,auto,12,1027971,6512,9967707722,1157347901,1157341389,8.612542,8.612591,1329158,9.0387,ok,
30,parallel_for,static,0,NA,16,close,cores,active,false,1000,auto,16,1442149,118770,29970,109261,-9509,0.274297,0.000000,336,0.0046,ok,
31,parallel_for,static,0,NA,16,close,cores,active,false,10000,auto,16,1698929,103489,713693,182817,79328,3.903866,8.996735,2458,0.0051,ok,
32,parallel_for,static,0,NA,16,close,cores,active,false,100000,auto,16,1389091,100270,14776875,2665147,2564877,5.544488,5.761241,19184,0.0180,ok,
33,parallel_for,static,0,NA,16,close,cores,active,false,1000000,auto,16,1383208,114922,359863665,49594319,49479397,7.256147,7.273000,156996,0.3370,ok,
34,parallel_for,static,0,NA,16,close,cores,active,false,10000000,auto,16,1411920,96570,9236700979,1293093094,1292996524,7.143106,7.143639,1329158,8.5465,ok,
35,parallel_for,static,0,NA,24,close,cores,active,false,1000,auto,24,1999517,123839,30044,146853,23014,0.204586,1.305466,336,0.0042,ok,
36,parallel_for,static,0,NA,24,close,cores,active,false,10000,auto,24,2446440,120102,712398,269064,148962,2.647690,4.782414,2458,0.0048,ok,
37,parallel_for,static,0,NA,24,close,cores,active,false,100000,auto,24,2369295,136271,14721819,2142411,2006140,6.871613,7.338381,19184,0.0192,ok,
38,parallel_for,static,0,NA,24,close,cores,active,false,1000000,auto,24,2911382,118844,359683512,43854842,43735998,8.201683,8.223969,156996,0.3326,ok,
39,parallel_for,static,0,NA,24,close,cores,active,false,10000000,auto,24,2298477,163651,9234414268,1149275796,1149112145,8.034985,8.036130,1329158,8.4289,ok,
