combo_id,work_sharing,schedule_kind,schedule_chunk,task_chunk_size,num_threads,proc_bind,places,wait_policy,dynamic,iterations,cpu_set,num_threads_actual,pool_create,fork_join_min,serial_min,parallel_min,pure_parallel,speedup_total,speedup_pure,acc,wall_time_sec,status,stderr
0,parallel_for,static,0,NA,12,close,cores,active,false,10000000,NA,12,1094238,6586,9981316766,1156061559,1156054973,8.633897,8.633946,1329158,9.0485,ok,
1,parallel_for,static,1,NA,12,close,cores,active,false,10000000,NA,12,1095829,6549,9970395550,2508826736,2508820187,3.974127,3.974137,1329158,10.1381,ok,
2,parallel_for,static,64,NA,12,close,cores,active,false,10000000,NA,12,1099603,5661,9986996895,873991911,873986250,11.426876,11.426950,1329158,8.8840,ok,
3,parallel_for,static,1024,NA,12,close,cores,active,false,10000000,NA,12,1141635,6253,9990846375,886212012,886205759,11.273653,11.273732,1329158,8.8417,ok,
4,parallel_for,static,16384,NA,12,close,cores,active,false,10000000,NA,12,939282,6031,9985737711,881652576,881646545,11.326160,11.326237,1329158,8.8639,ok,
5,parallel_for,static,262144,NA,12,close,cores,active,false,10000000,NA,12,1062455,6068,10025429128,1019463923,1019457855,9.834021,9.834079,1329158,8.9935,ok,
6,parallel_for,dynamic,0,NA,12,close,cores,active,false,10000000,NA,12,982239,6105,10008586210,999631035,999624930,10.012280,10.012342,1329158,8.9739,ok,
7,parallel_for,dynamic,1,NA,12,close,cores,active,false,10000000,NA,12,1035889,6216,9999257363,995459544,995453328,10.044866,10.044928,1329158,8.9570,ok,
8,parallel_for,dynamic,64,NA,12,close,cores,active,false,10000000,NA,12,1069078,6290,10011044712,841831622,841825332,11.891980,11.892069,1329158,8.8377,ok,
9,parallel_for,dynamic,1024,NA,12,close,cores,active,false,10000000,NA,12,970251,5772,9972964238,838815197,838809425,11.889346,11.889428,1329158,8.8114,ok,
10,parallel_for,dynamic,16384,NA,12,close,cores,active,false,10000000,NA,12,3292926,5772,9977551498,847145858,847140086,11.777844,11.777924,1329158,8.8263,ok,
11,parallel_for,dynamic,262144,NA,12,close,cores,active,false,10000000,NA,12,1111924,6290,10061266625,1019758739,1019752449,9.866321,9.866381,1329158,9.0306,ok,
12,parallel_for,guided,0,NA,12,close,cores,active,false,10000000,NA,12,1128352,5920,10076313304,837763102,837757182,12.027640,12.027725,1329158,9.1456,ok,
13,parallel_for,guided,1,NA,12,close,cores,active,false,10000000,NA,12,964923,6216,10015557158,838241623,838235407,11.948294,11.948382,1329158,8.8788,ok,
14,parallel_for,guided,64,NA,12,close,cores,active,false,10000000,NA,12,964368,5698,10057779005,839163811,839158113,11.985478,11.985559,1329158,8.8510,ok,
15,parallel_for,guided,1024,NA,12,close,cores,active,false,10000000,NA,12,983608,5994,9984344254,839150935,839144941,11.898151,11.898236,1329158,8.7998,ok,
16,parallel_for,guided,16384,NA,12,close,cores,active,false,10000000,NA,12,971657,6216,10527501109,846843309,846837093,12.431463,12.431554,1329158,9.2867,ok,
17,parallel_for,guided,262144,NA,12,close,cores,active,false,10000000,NA,12,1101601,6475,9985635184,1019951842,1019945367,9.790301,9.790363,1329158,8.9358,ok,
18,parallel_for,auto,NA,NA,12,close,cores,active,false,10000000,NA,12,1165426,6549,9977468544,1159425673,1159419124,8.605527,8.605575,1329158,9.0551,ok,
19,manual,NA,NA,NA,12,close,cores,active,false,10000000,NA,12,935360,5957,9990472009,1160397737,1160391780,8.609524,8.609568,1329158,9.0747,ok,
20,tasks,NA,NA,0,12,close,cores,active,false,10000000,NA,12,3962145,5550,9994378691,1161170075,1161164525,8.607162,8.607203,1329158,9.0817,ok,
21,tasks,NA,NA,256,12,close,cores,active,false,10000000,NA,12,1052983,5957,9980884273,10059227962,10059222005,0.992212,0.992212,1329158,16.3360,ok,
22,tasks,NA,NA,8192,12,close,cores,active,false,10000000,NA,12,972878,6068,9985376961,10633822792,10633816724,0.939020,0.939021,1329158,16.7368,ok,
23,tasks,NA,NA,65536,12,close,cores,active,false,10000000,NA,12,1043215,5809,9987022721,870129037,870123228,11.477634,11.477711,1329158,8.8193,ok,
24,tasks,NA,NA,524288,12,close,cores,active,false,10000000,NA,12,1130498,5698,10005687297,1197306458,1197300760,8.356831,8.356870,1329158,9.1354,ok,
