combo_id,work_sharing,schedule_kind,schedule_chunk,task_chunk_size,num_threads,proc_bind,places,wait_policy,dynamic,iterations,cpu_set,num_threads_actual,pool_create,fork_join_min,serial_min,parallel_min,pure_parallel,speedup_total,speedup_pure,acc,wall_time_sec,status,stderr
0,parallel_for,static,0,NA,12,close,cores,active,true,1000,NA,9,707403,5809,29785,14208,8399,2.096354,3.546256,336,0.0012,ok,
1,parallel_for,static,0,NA,12,close,cores,active,true,10000,NA,9,784881,7548,890553,139083,131535,6.403033,6.770464,2458,0.0032,ok,
2,parallel_for,static,0,NA,12,close,cores,active,true,100000,NA,9,715247,6068,15681673,2349611,2343543,6.674157,6.691438,19184,0.0163,ok,
3,parallel_for,static,0,NA,12,close,cores,active,true,1000000,NA,9,761127,7326,383578519,58315774,58308448,6.577612,6.578438,156996,0.3601,ok,
4,parallel_for,static,0,NA,12,close,cores,active,true,10000000,NA,9,685092,5994,9843102785,1516691457,1516685463,6.489852,6.489877,1329158,9.2154,ok,
5,parallel_for,static,0,NA,12,close,cores,active,false,1000,NA,12,936729,5624,29748,12913,7289,2.303725,4.081218,336,0.0013,ok,
6,parallel_for,static,0,NA,12,close,cores,active,false,10000,NA,12,1046212,5994,712620,105783,99789,6.736621,7.141268,2458,0.0019,ok,
7,parallel_for,static,0,NA,12,close,cores,active,false,100000,NA,12,951122,5883,15525015,1910532,1904649,8.126017,8.151116,19184,0.0156,ok,
8,parallel_for,static,0,NA,12,close,cores,active,false,1000000,NA,12,1106226,6660,387403320,47665731,47659071,8.127502,8.128638,156996,0.3562,ok,
9,parallel_for,static,0,NA,12,close,cores,active,false,10000000,NA,12,894697,6068,10349208580,1161303941,1161297873,8.911714,8.911761,1329158,9.5015,ok,
10,parallel_for,static,0,NA,12,close,cores,passive,true,1000,NA,8,826654,26825,29230,45843,19018,0.637611,1.536965,336,0.0018,ok,
11,parallel_for,static,0,NA,12,close,cores,passive,true,10000,NA,8,644873,29563,708994,190032,160469,3.730919,4.418261,2458,0.0023,ok,
12,parallel_for,static,0,NA,12,close,cores,passive,true,100000,NA,8,727161,36889,14864528,2871052,2834163,5.177380,5.244768,19184,0.0165,ok,
13,parallel_for,static,0,NA,12,close,cores,passive,true,1000000,NA,8,757612,32079,360726986,64367642,64335563,5.604167,5.606961,156996,0.3488,ok,
14,parallel_for,static,0,NA,12,close,cores,passive,true,10000000,NA,9,676804,26011,9233958354,1507826257,1507800246,6.124020,6.124126,1329158,8.7152,ok,
15,parallel_for,static,0,NA,12,close,cores,passive,false,1000,NA,12,1137269,32597,29748,51319,18722,0.579668,1.588933,336,0.0020,ok,
16,parallel_for,static,0,NA,12,close,cores,passive,false,10000,NA,12,1104524,37259,723054,125430,88171,5.764602,8.200587,2458,0.0024,ok,
17,parallel_for,static,0,NA,12,close,cores,passive,false,100000,NA,12,1118954,31672,14983631,1944757,1913085,7.704629,7.832183,19184,0.0161,ok,
18,parallel_for,static,0,NA,12,close,cores,passive,false,1000000,NA,12,1097790,35927,359755255,43713206,43677279,8.229899,8.236668,156996,0.3308,ok,
19,parallel_for,static,0,NA,12,close,cores,passive,false,10000000,NA,12,1128611,37555,9236258126,1148856364,1148818809,8.039524,8.039787,1329158,8.4247,ok,
