combo_id,work_sharing,schedule_kind,schedule_chunk,task_chunk_size,num_threads,proc_bind,places,wait_policy,dynamic,iterations,cpu_set,num_threads_actual,pool_create,fork_join_min,serial_min,parallel_min,pure_parallel,speedup_total,speedup_pure,acc,wall_time_sec,status,stderr
0,cache_walk,NA,NA,NA,1,NA,NA,active,false,512,auto,1,5994,1443,15799000,15800739,15799296,0.999890,0.999981,0,0.0276,ok,
1,cache_walk,NA,NA,NA,1,NA,NA,active,false,1024,auto,1,8658,1850,15846360,15817278,15815428,1.001839,1.001956,0,0.0273,ok,
2,cache_walk,NA,NA,NA,1,NA,NA,active,false,2048,auto,1,6475,1813,15835297,15810063,15808250,1.001596,1.001711,0,0.0272,ok,
3,cache_walk,NA,NA,NA,1,NA,NA,active,false,4096,auto,1,6697,1850,15857645,15877884,15876034,0.998725,0.998842,0,0.0274,ok,
4,cache_walk,NA,NA,NA,1,NA,NA,active,false,8192,auto,1,6475,1998,29570178,29563629,29561631,1.000222,1.000289,0,0.0495,ok,
5,cache_walk,NA,NA,NA,1,NA,NA,active,false,16384,auto,1,6771,1813,35659009,35625265,35623452,1.000947,1.000998,0,0.0595,ok,
6,cache_walk,NA,NA,NA,1,NA,NA,active,false,32768,auto,1,6327,1887,42232873,42199277,42197390,1.000796,1.000841,0,0.0704,ok,
7,cache_walk,NA,NA,NA,1,NA,NA,active,false,65536,auto,1,6216,1813,67622310,67642586,67640773,0.999700,0.999727,0,0.1120,ok,
8,cache_walk,NA,NA,NA,1,NA,NA,active,false,131072,auto,1,7844,1887,116409807,116250078,116248191,1.001374,1.001390,0,0.1917,ok,
9,cache_walk,NA,NA,NA,1,NA,NA,active,false,262144,auto,1,5439,1480,144388171,144429241,144427761,0.999716,0.999726,0,0.2377,ok,
10,cache_walk,NA,NA,NA,1,NA,NA,active,false,524288,auto,1,6623,1887,147004589,146685797,146683910,1.002173,1.002186,0,0.2436,ok,
11,cache_walk,NA,NA,NA,1,NA,NA,active,false,1048576,auto,1,7215,1850,147389796,147545418,147543568,0.998945,0.998958,0,0.2479,ok,
12,cache_walk,NA,NA,NA,1,NA,NA,active,false,2097152,auto,1,5735,1480,296288896,296107818,296106338,1.000612,1.000617,0,0.4929,ok,
13,cache_walk,NA,NA,NA,1,NA,NA,active,false,4194304,auto,1,7030,1813,805746743,832195490,832193677,0.968218,0.968220,0,1.4483,ok,
14,cache_walk,NA,NA,NA,1,NA,NA,active,false,8388608,auto,1,8621,1813,7013182982,6944247616,6944245803,1.009927,1.009927,0,11.5190,ok,
15,cache_walk,NA,NA,NA,1,NA,NA,active,false,16777216,auto,1,7511,1850,18809048013,18823131693,18823129843,0.999252,0.999252,0,30.8500,ok,
