combo_id,work_sharing,schedule_kind,schedule_chunk,task_chunk_size,num_threads,proc_bind,places,wait_policy,dynamic,iterations,cpu_set,num_threads_actual,pool_create,fork_join_min,serial_min,parallel_min,pure_parallel,speedup_total,speedup_pure,acc,wall_time_sec,status,stderr
0,cache_walk_private,NA,NA,NA,12,false,NA,active,false,512,auto,12,29257158,5476,201702355,18259093,18253617,11.046680,11.049994,0,0.2023,ok,
1,cache_walk_private,NA,NA,NA,12,false,NA,active,false,1024,auto,12,822029,5772,203582880,18269194,18263422,11.143506,11.147028,0,0.1819,ok,
2,cache_walk_private,NA,NA,NA,12,false,NA,active,false,2048,auto,12,774669,5624,204379157,18259722,18254098,11.192895,11.196344,0,0.2039,ok,
3,cache_walk_private,NA,NA,NA,12,false,NA,active,false,4096,auto,12,12134557,1024456,204584211,18573223,17548767,11.015009,11.658039,0,0.2364,ok,
4,cache_walk_private,NA,NA,NA,12,false,NA,active,false,8192,auto,12,821918,5513,382960545,34141898,34136385,11.216733,11.218544,0,0.3640,ok,
5,cache_walk_private,NA,NA,NA,12,false,NA,active,false,16384,auto,12,830576,5809,461385153,41212191,41206382,11.195356,11.196934,0,0.4198,ok,
6,cache_walk_private,NA,NA,NA,12,false,NA,active,false,32768,auto,12,909386,6438,507464805,45103296,45096858,11.251169,11.252775,0,0.4545,ok,
7,cache_walk_private,NA,NA,NA,12,false,NA,active,false,65536,auto,12,26734350,6438,638841593,89977081,89970643,7.100048,7.100556,0,0.6454,ok,
8,cache_walk_private,NA,NA,NA,12,close,threads,active,false,512,auto,12,1035593,6549,204266640,18191272,18184723,11.228827,11.232871,0,0.1860,ok,
9,cache_walk_private,NA,NA,NA,12,close,threads,active,false,1024,auto,12,933806,5994,204448014,18202002,18196008,11.232172,11.235872,0,0.1845,ok,
10,cache_walk_private,NA,NA,NA,12,close,threads,active,false,2048,auto,12,925444,5772,204180319,18245847,18240075,11.190509,11.194050,0,0.1828,ok,
11,cache_walk_private,NA,NA,NA,12,close,threads,active,false,4096,auto,12,980574,6808,205092332,18567599,18560791,11.045711,11.049762,0,0.1838,ok,
12,cache_walk_private,NA,NA,NA,12,close,threads,active,false,8192,auto,12,885410,5883,382125899,34047289,34041406,11.223387,11.225327,0,0.3411,ok,
13,cache_walk_private,NA,NA,NA,12,close,threads,active,false,16384,auto,12,891996,5920,459522351,41186624,41180704,11.157077,11.158681,0,0.4097,ok,
14,cache_walk_private,NA,NA,NA,12,close,threads,active,false,32768,auto,12,929033,6475,508386105,45392895,45386420,11.199685,11.201282,0,0.4539,ok,
15,cache_walk_private,NA,NA,NA,12,close,threads,active,false,65536,auto,12,954785,6512,653098396,79026635,79020123,8.264282,8.264963,0,0.6219,ok,
16,cache_walk_private,NA,NA,NA,12,close,cores,active,false,512,auto,12,940910,6068,204212990,18177286,18171218,11.234515,11.238266,0,0.1833,ok,
17,cache_walk_private,NA,NA,NA,12,close,cores,active,false,1024,auto,12,924186,5920,204153568,18215655,18209735,11.207589,11.211232,0,0.1823,ok,
18,cache_walk_private,NA,NA,NA,12,close,cores,active,false,2048,auto,12,880859,5809,203979261,18254542,18248733,11.174165,11.177722,0,0.1823,ok,
19,cache_walk_private,NA,NA,NA,12,close,cores,active,false,4096,auto,12,872238,5883,204951917,18594313,18588430,11.022290,11.025779,0,0.1835,ok,
20,cache_walk_private,NA,NA,NA,12,close,cores,active,false,8192,auto,12,851925,5624,382569751,34280426,34274802,11.160006,11.161837,0,0.3416,ok,
21,cache_walk_private,NA,NA,NA,12,close,cores,active,false,16384,auto,12,1062085,6364,460288695,41197946,41191582,11.172613,11.174339,0,0.4109,ok,
22,cache_walk_private,NA,NA,NA,12,close,cores,active,false,32768,auto,12,898249,5180,506454150,45876929,45871749,11.039408,11.040655,0,0.4627,ok,
23,cache_walk_private,NA,NA,NA,12,close,cores,active,false,65536,auto,12,1028341,6549,647515651,76343432,76336883,8.481616,8.482343,0,0.5948,ok,
24,cache_walk_private,NA,NA,NA,12,spread,threads,active,false,512,auto,12,894549,5772,204259573,18200781,18195009,11.222572,11.226132,0,0.1824,ok,
25,cache_walk_private,NA,NA,NA,12,spread,threads,active,false,1024,auto,12,920634,6623,204173881,17923651,17917028,11.391311,11.395522,0,0.1825,ok,
26,cache_walk_private,NA,NA,NA,12,spread,threads,active,false,2048,auto,12,1054944,6586,204224941,18200818,18194232,11.220646,11.224708,0,0.2007,ok,
27,cache_walk_private,NA,NA,NA,12,spread,threads,active,false,4096,auto,12,867761,5920,205225088,18616365,18610445,11.023908,11.027414,0,0.1838,ok,
28,cache_walk_private,NA,NA,NA,12,spread,threads,active,false,8192,auto,12,1055647,6623,382647155,34278391,34271768,11.162926,11.165084,0,0.3418,ok,
29,cache_walk_private,NA,NA,NA,12,spread,threads,active,false,16384,auto,12,946201,6290,460319849,41173637,41167347,11.179966,11.181674,0,0.4128,ok,
30,cache_walk_private,NA,NA,NA,12,spread,threads,active,false,32768,auto,12,957227,6586,506790850,45316379,45309793,11.183392,11.185018,0,0.4536,ok,
31,cache_walk_private,NA,NA,NA,12,spread,threads,active,false,65536,auto,12,891034,6253,654773312,77469083,77462830,8.452060,8.452742,0,0.6003,ok,
32,cache_walk_private,NA,NA,NA,12,spread,cores,active,false,512,auto,12,914048,5587,204197302,18182133,18176546,11.230657,11.234109,0,0.1823,ok,
33,cache_walk_private,NA,NA,NA,12,spread,cores,active,false,1024,auto,12,893587,5957,204188496,18141359,18135402,11.255413,11.259111,0,0.1822,ok,
34,cache_walk_private,NA,NA,NA,12,spread,cores,active,false,2048,auto,12,861323,6068,204209512,18405354,18399286,11.095115,11.098774,0,0.1826,ok,
35,cache_walk_private,NA,NA,NA,12,spread,cores,active,false,4096,auto,12,893735,6327,205054111,18543438,18537111,11.058042,11.061816,0,0.1836,ok,
36,cache_walk_private,NA,NA,NA,12,spread,cores,active,false,8192,auto,12,900580,5957,382502596,34108191,34102234,11.214391,11.216350,0,0.3499,ok,
37,cache_walk_private,NA,NA,NA,12,spread,cores,active,false,16384,auto,12,923779,5957,459960579,41239904,41233947,11.153289,11.154901,0,0.4120,ok,
38,cache_walk_private,NA,NA,NA,12,spread,cores,active,false,32768,auto,12,1046656,6771,501488158,45224397,45217626,11.088885,11.090546,0,0.4488,ok,
