combo_id,work_sharing,schedule_kind,schedule_chunk,task_chunk_size,num_threads,proc_bind,places,wait_policy,dynamic,iterations,cpu_set,num_threads_actual,pool_create,fork_join_min,serial_min,parallel_min,pure_parallel,speedup_total,speedup_pure,acc,wall_time_sec,status,stderr
0,cache_walk_private,NA,NA,NA,2,close,cores,active,false,4096,0-11,2,219595,3515,31691610,15856091,15852576,1.998703,1.999146,0,0.0415,ok,
1,cache_walk_private,NA,NA,NA,2,close,cores,active,false,65536,0-11,2,175639,2849,141108787,70929740,70926891,1.989416,1.989496,0,0.1771,ok,
2,cache_walk_private,NA,NA,NA,2,close,cores,active,false,524288,0-11,2,179154,2849,282215021,146835203,146832354,1.921985,1.922022,0,0.3561,ok,
3,cache_walk_private,NA,NA,NA,2,spread,cores,active,false,4096,0-11,2,209568,4440,32675551,16426372,16421932,1.989213,1.989751,0,0.0419,ok,
4,cache_walk_private,NA,NA,NA,2,spread,cores,active,false,65536,0-11,2,193510,4440,138980251,72105193,72100753,1.927465,1.927584,0,0.1747,ok,
5,cache_walk_private,NA,NA,NA,2,spread,cores,active,false,524288,0-11,2,219595,4440,290868766,150749174,150744734,1.929488,1.929545,0,0.3688,ok,
6,cache_walk_private,NA,NA,NA,3,close,cores,active,false,4096,0-11,3,332852,3478,47552215,15854500,15851022,2.999288,2.999946,0,0.0537,ok,
7,cache_walk_private,NA,NA,NA,3,close,cores,active,false,65536,0-11,3,273578,3515,206098214,71650167,71646652,2.876451,2.876592,0,0.2288,ok,
8,cache_walk_private,NA,NA,NA,3,close,cores,active,false,524288,0-11,3,273578,2812,417689004,147274985,147272173,2.836116,2.836171,0,0.4677,ok,
9,cache_walk_private,NA,NA,NA,3,spread,cores,active,false,4096,0-11,3,406149,4551,49598759,16639307,16634756,2.980819,2.981634,0,0.0557,ok,
10,cache_walk_private,NA,NA,NA,3,spread,cores,active,false,65536,0-11,3,273800,4736,204178506,69159956,69155220,2.952265,2.952467,0,0.2258,ok,
11,cache_walk_private,NA,NA,NA,3,spread,cores,active,false,524288,0-11,3,357272,4699,438105419,152885924,152881225,2.865571,2.865659,0,0.4963,ok,
12,cache_walk_private,NA,NA,NA,4,close,cores,active,false,4096,0-11,4,438820,3663,63389547,15904191,15900528,3.985713,3.986632,0,0.0667,ok,
13,cache_walk_private,NA,NA,NA,4,close,cores,active,false,65536,0-11,4,366041,3626,266179369,68558188,68554562,3.882532,3.882738,0,0.2756,ok,
14,cache_walk_private,NA,NA,NA,4,close,cores,active,false,524288,0-11,4,338587,3663,552673403,147494802,147491139,3.747070,3.747163,0,0.5798,ok,
15,cache_walk_private,NA,NA,NA,4,spread,cores,active,false,4096,0-11,4,433492,4847,66090140,16724925,16720078,3.951596,3.952741,0,0.0695,ok,
16,cache_walk_private,NA,NA,NA,4,spread,cores,active,false,65536,0-11,4,371369,4847,279476836,70153147,70148300,3.983810,3.984086,0,0.2882,ok,
17,cache_walk_private,NA,NA,NA,4,spread,cores,active,false,524288,0-11,4,396677,5069,582574546,153722420,153717351,3.789783,3.789908,0,0.6276,ok,
18,cache_walk_private,NA,NA,NA,5,close,cores,active,false,4096,0-11,5,479261,3700,79364297,15987367,15983667,4.964188,4.965337,0,0.0797,ok,
19,cache_walk_private,NA,NA,NA,5,close,cores,active,false,65536,0-11,5,368594,2960,334166795,67250349,67247389,4.968997,4.969216,0,0.3301,ok,
20,cache_walk_private,NA,NA,NA,5,close,cores,active,false,524288,0-11,5,387538,2812,688707418,147443964,147441152,4.670977,4.671066,0,0.6949,ok,
21,cache_walk_private,NA,NA,NA,5,spread,cores,active,false,4096,0-11,5,495282,4551,84123829,16975267,16970716,4.955670,4.956999,0,0.0841,ok,
22,cache_walk_private,NA,NA,NA,5,spread,cores,active,false,65536,0-11,5,466681,5180,360183900,74621415,74616235,4.826817,4.827152,0,0.3577,ok,
23,cache_walk_private,NA,NA,NA,5,spread,cores,active,false,524288,0-11,5,475265,5217,735018801,155865090,155859873,4.715737,4.715895,0,0.7561,ok,
24,cache_walk_private,NA,NA,NA,6,close,cores,active,false,4096,0-11,6,667887,3848,95558346,16094852,16091004,5.937199,5.938619,0,0.0928,ok,
25,cache_walk_private,NA,NA,NA,6,close,cores,active,false,65536,0-11,6,495948,4551,417946635,72526919,72522368,5.762642,5.763003,0,0.4043,ok,
26,cache_walk_private,NA,NA,NA,6,close,cores,active,false,524288,0-11,6,472305,3885,827098000,148335368,148331483,5.575865,5.576011,0,0.8168,ok,
27,cache_walk_private,NA,NA,NA,6,spread,cores,active,false,4096,0-11,6,583305,4773,100064465,16964019,16959246,5.898630,5.900290,0,0.0977,ok,
28,cache_walk_private,NA,NA,NA,6,spread,cores,active,false,65536,0-11,6,6138115,5032,435119593,76574423,76569391,5.682310,5.682683,0,0.4228,ok,
29,cache_walk_private,NA,NA,NA,6,spread,cores,active,false,524288,0-11,6,544677,5328,882829805,156204158,156198830,5.651769,5.651962,0,0.8673,ok,
