combo_id,work_sharing,schedule_kind,schedule_chunk,task_chunk_size,num_threads,proc_bind,places,wait_policy,dynamic,iterations,cpu_set,num_threads_actual,pool_create,fork_join_min,serial_min,parallel_min,pure_parallel,speedup_total,speedup_pure,acc,wall_time_sec,status,stderr
0,false_sharing,NA,NA,NA,2,close,cores,active,false,1000,0-11,2,179080,3515,2294,16946,13431,0.135371,0.170799,0,0.0017,ok,
1,false_sharing,NA,NA,NA,2,close,cores,active,false,10000,0-11,2,170681,3589,21423,1224737,1221148,0.017492,0.017543,0,0.0025,ok,
2,false_sharing,NA,NA,NA,2,close,cores,active,false,100000,0-11,2,162208,2849,212787,6703808,6700959,0.031741,0.031755,0,0.0072,ok,
3,false_sharing,NA,NA,NA,2,close,cores,active,false,1000000,0-11,2,177452,3478,2409181,60457334,60453856,0.039849,0.039852,0,0.0533,ok,
4,false_sharing,NA,NA,NA,2,close,cores,active,false,10000000,0-11,2,151922,2664,15610263,604518950,604516286,0.025823,0.025823,0,0.5145,ok,
5,false_sharing,NA,NA,NA,2,spread,cores,active,false,1000,0-11,2,212417,4218,5439,11766,7548,0.462264,0.720588,0,0.0019,ok,
6,false_sharing,NA,NA,NA,2,spread,cores,active,false,10000,0-11,2,192141,4440,45732,97273,92833,0.470141,0.492627,0,0.0017,ok,
7,false_sharing,NA,NA,NA,2,spread,cores,active,false,100000,0-11,2,174973,4366,456321,827616,823250,0.551368,0.554292,0,0.0035,ok,
8,false_sharing,NA,NA,NA,2,spread,cores,active,false,1000000,0-11,2,168572,4440,1988232,5420537,5416097,0.366796,0.367097,0,0.0087,ok,
9,false_sharing,NA,NA,NA,2,spread,cores,active,false,10000000,0-11,2,186147,4440,18636863,55108170,55103730,0.338187,0.338214,0,0.0658,ok,
10,false_sharing,NA,NA,NA,3,close,cores,active,false,1000,0-11,3,265327,3552,3367,14393,10841,0.233933,0.310580,0,0.0017,ok,
11,false_sharing,NA,NA,NA,3,close,cores,active,false,10000,0-11,3,247419,2997,25641,1380581,1377584,0.018573,0.018613,0,0.0027,ok,
12,false_sharing,NA,NA,NA,3,close,cores,active,false,100000,0-11,3,257446,2997,319384,8370103,8367106,0.038158,0.038171,0,0.0107,ok,
13,false_sharing,NA,NA,NA,3,close,cores,active,false,1000000,0-11,3,199171,2701,2931732,77570463,77567762,0.037794,0.037796,0,0.0706,ok,
14,false_sharing,NA,NA,NA,3,close,cores,active,false,10000000,0-11,3,266363,3552,33771898,822660516,822656964,0.041052,0.041052,0,0.7155,ok,
15,false_sharing,NA,NA,NA,3,spread,cores,active,false,1000,0-11,3,348799,4514,6919,33781,29267,0.204819,0.236410,0,0.0018,ok,
16,false_sharing,NA,NA,NA,3,spread,cores,active,false,10000,0-11,3,278684,4551,75998,1018795,1014244,0.074596,0.074931,0,0.0025,ok,
17,false_sharing,NA,NA,NA,3,spread,cores,active,false,100000,0-11,3,280312,4477,684352,5844002,5839525,0.117103,0.117193,0,0.0087,ok,
18,false_sharing,NA,NA,NA,3,spread,cores,active,false,1000000,0-11,3,281607,4366,3219481,57558643,57554277,0.055934,0.055938,0,0.0563,ok,
19,false_sharing,NA,NA,NA,3,spread,cores,active,false,10000000,0-11,3,302142,4551,26739234,624699601,624695050,0.042803,0.042804,0,0.5323,ok,
20,false_sharing,NA,NA,NA,4,close,cores,active,false,1000,0-11,4,354164,3700,10360,198505,194805,0.052190,0.053181,0,0.0017,ok,
21,false_sharing,NA,NA,NA,4,close,cores,active,false,10000,0-11,4,351537,2812,92130,1399599,1396787,0.065826,0.065959,0,0.0029,ok,
22,false_sharing,NA,NA,NA,4,close,cores,active,false,100000,0-11,4,397195,3737,730898,12595318,12591581,0.058029,0.058047,0,0.0139,ok,
23,false_sharing,NA,NA,NA,4,close,cores,active,false,1000000,0-11,4,375661,3700,4231579,124610561,124606861,0.033958,0.033959,0,0.1080,ok,
24,false_sharing,NA,NA,NA,4,close,cores,active,false,10000000,0-11,4,332926,3626,31871911,1255372112,1255368486,0.025388,0.025388,0,1.0491,ok,
25,false_sharing,NA,NA,NA,4,spread,cores,active,false,1000,0-11,4,418248,4884,8473,136567,131683,0.062043,0.064344,0,0.0018,ok,
26,false_sharing,NA,NA,NA,4,spread,cores,active,false,10000,0-11,4,406334,4884,83842,1291781,1286897,0.064904,0.065151,0,0.0032,ok,
27,false_sharing,NA,NA,NA,4,spread,cores,active,false,100000,0-11,4,373959,4847,666740,19269970,19265123,0.034600,0.034609,0,0.0179,ok,
28,false_sharing,NA,NA,NA,4,spread,cores,active,false,1000000,0-11,4,329226,4292,4154508,196037803,196033511,0.021192,0.021193,0,0.1668,ok,
29,false_sharing,NA,NA,NA,4,spread,cores,active,false,10000000,0-11,4,312502,4292,33882121,1939176549,1939172257,0.017472,0.017472,0,1.6083,ok,
30,false_sharing,NA,NA,NA,5,close,cores,active,false,1000,0-11,5,479335,3774,5550,282347,278573,0.019657,0.019923,0,0.0018,ok,
31,false_sharing,NA,NA,NA,5,close,cores,active,false,10000,0-11,5,408406,3848,53391,1789209,1785361,0.029841,0.029905,0,0.0031,ok,
32,false_sharing,NA,NA,NA,5,close,cores,active,false,100000,0-11,5,366818,2849,425463,13566198,13563349,0.031362,0.031369,0,0.0159,ok,
33,false_sharing,NA,NA,NA,5,close,cores,active,false,1000000,0-11,5,406001,3367,4693487,156916223,156912856,0.029911,0.029911,0,0.1349,ok,
34,false_sharing,NA,NA,NA,5,close,cores,active,false,10000000,0-11,5,446220,3811,40471969,1578049852,1578046041,0.025647,0.025647,0,1.3179,ok,
35,false_sharing,NA,NA,NA,5,spread,cores,active,false,1000,0-11,5,445184,4514,7807,75295,70781,0.103686,0.110298,0,0.0018,ok,
36,false_sharing,NA,NA,NA,5,spread,cores,active,false,10000,0-11,5,453324,5143,96311,2251043,2245900,0.042785,0.042883,0,0.0037,ok,
37,false_sharing,NA,NA,NA,5,spread,cores,active,false,100000,0-11,5,454915,5143,860028,22666866,22661723,0.037942,0.037951,0,0.0215,ok,
38,false_sharing,NA,NA,NA,5,spread,cores,active,false,1000000,0-11,5,462352,5069,4721422,214702527,214697458,0.021991,0.021991,0,0.1813,ok,
39,false_sharing,NA,NA,NA,5,spread,cores,active,false,10000000,0-11,5,456580,4884,42257330,2148679170,2148674286,0.019667,0.019667,0,1.7839,ok,
40,false_sharing,NA,NA,NA,6,close,cores,active,false,1000,0-11,6,651200,2923,15392,260702,257779,0.059041,0.059710,0,0.0020,ok,
41,false_sharing,NA,NA,NA,6,close,cores,active,false,10000,0-11,6,511414,3996,153624,2072518,2068522,0.074124,0.074268,0,0.0046,ok,
42,false_sharing,NA,NA,NA,6,close,cores,active,false,100000,0-11,6,456839,3293,1294926,17962279,17958986,0.072091,0.072105,0,0.0195,ok,
43,false_sharing,NA,NA,NA,6,close,cores,active,false,1000000,0-11,6,413956,2590,5498422,179684395,179681805,0.030600,0.030601,0,0.1533,ok,
44,false_sharing,NA,NA,NA,6,close,cores,active,false,10000000,0-11,6,478225,3182,49101516,1799223050,1799219868,0.027290,0.027290,0,1.5062,ok,
45,false_sharing,NA,NA,NA,6,spread,cores,active,false,1000,0-11,6,548636,4810,10175,355163,350353,0.028649,0.029042,0,0.0019,ok,
46,false_sharing,NA,NA,NA,6,spread,cores,active,false,10000,0-11,6,517186,5180,115440,2710139,2704959,0.042596,0.042677,0,0.0038,ok,
47,false_sharing,NA,NA,NA,6,spread,cores,active,false,100000,0-11,6,571317,5217,1007917,26601742,26596525,0.037889,0.037897,0,0.0245,ok,
48,false_sharing,NA,NA,NA,6,spread,cores,active,false,1000000,0-11,6,515410,5365,5754351,267263432,267258067,0.021531,0.021531,0,0.2246,ok,
49,false_sharing,NA,NA,NA,6,spread,cores,active,false,10000000,0-11,6,529248,5254,50936864,2661840310,2661835056,0.019136,0.019136,0,2.2039,ok,
50,false_sharing,NA,NA,NA,8,close,cores,active,false,1000,0-11,8,730084,5402,8510,442964,437562,0.019211,0.019449,0,0.0031,ok,
51,false_sharing,NA,NA,NA,8,close,cores,active,false,10000,0-11,8,653827,5624,82510,3241163,3235539,0.025457,0.025501,0,0.0047,ok,
52,false_sharing,NA,NA,NA,8,close,cores,active,false,100000,0-11,8,656084,5365,850889,28931891,28926526,0.029410,0.029416,0,0.0274,ok,
53,false_sharing,NA,NA,NA,8,close,cores,active,false,1000000,0-11,8,768305,4847,10762153,287901218,287896371,0.037381,0.037382,0,0.2480,ok,
54,false_sharing,NA,NA,NA,8,close,cores,active,false,10000000,0-11,8,715321,5513,67605290,2880712737,2880707224,0.023468,0.023468,0,2.4036,ok,
55,false_sharing,NA,NA,NA,8,spread,cores,active,false,1000,0-11,8,718244,5772,20350,332704,326932,0.061165,0.062245,0,0.0020,ok,
56,false_sharing,NA,NA,NA,8,spread,cores,active,false,10000,0-11,8,678062,5735,207459,3553480,3547745,0.058382,0.058476,0,0.0046,ok,
57,false_sharing,NA,NA,NA,8,spread,cores,active,false,100000,0-11,8,690531,6364,1453101,32900770,32894406,0.044166,0.044175,0,0.0307,ok,
58,false_sharing,NA,NA,NA,8,spread,cores,active,false,1000000,0-11,8,788433,5661,6893914,317240553,317234892,0.021731,0.021731,0,0.2666,ok,
59,false_sharing,NA,NA,NA,8,spread,cores,active,false,10000000,0-11,8,705627,5772,67726761,3175638368,3175632596,0.021327,0.021327,0,2.6384,ok,
60,false_sharing,NA,NA,NA,12,close,cores,active,false,1000,0-11,12,1133347,6808,25530,298331,291523,0.085576,0.087575,0,0.0022,ok,
61,false_sharing,NA,NA,NA,12,close,cores,active,false,10000,0-11,12,937247,5735,200910,3044360,3038625,0.065994,0.066119,0,0.0043,ok,
62,false_sharing,NA,NA,NA,12,close,cores,active,false,100000,0-11,12,1019498,6549,1761163,29595338,29588789,0.059508,0.059521,0,0.0287,ok,
63,false_sharing,NA,NA,NA,12,close,cores,active,false,1000000,0-11,12,865615,5476,11371543,302496460,302490984,0.037592,0.037593,0,0.2611,ok,
64,false_sharing,NA,NA,NA,12,close,cores,active,false,10000000,0-11,12,922632,6031,102712555,3110516037,3110510006,0.033021,0.033021,0,2.6235,ok,
65,false_sharing,NA,NA,NA,12,spread,cores,active,false,1000,0-11,12,1025196,5735,24938,355052,349317,0.070238,0.071391,0,0.0022,ok,
66,false_sharing,NA,NA,NA,12,spread,cores,active,false,10000,0-11,12,925703,5846,243238,3234503,3228657,0.075201,0.075337,0,0.0059,ok,
67,false_sharing,NA,NA,NA,12,spread,cores,active,false,100000,0-11,12,904280,5809,1794500,30300595,30294786,0.059223,0.059235,0,0.0303,ok,
68,false_sharing,NA,NA,NA,12,spread,cores,active,false,1000000,0-11,12,1046138,6586,10059412,308244706,308238120,0.032635,0.032635,0,0.2639,ok,
69,false_sharing,NA,NA,NA,12,spread,cores,active,false,10000000,0-11,12,3873086,6253,102664011,2639098186,2639091933,0.038901,0.038901,0,2.4896,ok,
70,false_sharing_padded,NA,NA,NA,2,close,cores,active,false,1000,0-11,2,187035,2812,5069,6845,4033,0.740541,1.256881,0,0.0016,ok,
71,false_sharing_padded,NA,NA,NA,2,close,cores,active,false,10000,0-11,2,191660,3441,49321,31228,27787,1.579384,1.774967,0,0.0016,ok,
72,false_sharing_padded,NA,NA,NA,2,close,cores,active,false,100000,0-11,2,168424,3515,458578,282902,279387,1.620978,1.641372,0,0.0021,ok,
73,false_sharing_padded,NA,NA,NA,2,close,cores,active,false,1000000,0-11,2,171014,3478,2059383,1502903,1499425,1.370270,1.373448,0,0.0052,ok,
74,false_sharing_padded,NA,NA,NA,2,close,cores,active,false,10000000,0-11,2,164428,2849,15560683,10389822,10386973,1.497685,1.498096,0,0.0262,ok,
75,false_sharing_padded,NA,NA,NA,2,spread,cores,active,false,1000,0-11,2,231324,3626,2405,9916,6290,0.242537,0.382353,0,0.0018,ok,
76,false_sharing_padded,NA,NA,NA,2,spread,cores,active,false,10000,0-11,2,198801,4477,21423,44067,39590,0.486146,0.541121,0,0.0017,ok,
77,false_sharing_padded,NA,NA,NA,2,spread,cores,active,false,100000,0-11,2,190624,4440,205794,422910,418470,0.486614,0.491777,0,0.0022,ok,
78,false_sharing_padded,NA,NA,NA,2,spread,cores,active,false,1000000,0-11,2,169941,4366,1701260,1733561,1729195,0.981367,0.983845,0,0.0050,ok,
79,false_sharing_padded,NA,NA,NA,2,spread,cores,active,false,10000000,0-11,2,177045,4403,17951142,13225576,13221173,1.357305,1.357757,0,0.0294,ok,
80,false_sharing_padded,NA,NA,NA,3,close,cores,active,false,1000,0-11,3,253635,3552,3367,7659,4107,0.439614,0.819820,0,0.0018,ok,
81,false_sharing_padded,NA,NA,NA,3,close,cores,active,false,10000,0-11,3,248048,2997,32079,44104,41107,0.727349,0.780378,0,0.0018,ok,
82,false_sharing_padded,NA,NA,NA,3,close,cores,active,false,100000,0-11,3,248714,3552,319125,365708,362156,0.872622,0.881181,0,0.0022,ok,
83,false_sharing_padded,NA,NA,NA,3,close,cores,active,false,1000000,0-11,3,268361,2886,2552001,1738741,1735855,1.467729,1.470169,0,0.0058,ok,
84,false_sharing_padded,NA,NA,NA,3,close,cores,active,false,10000000,0-11,3,254856,3589,25909842,12370617,12367028,2.094466,2.095074,0,0.0362,ok,
85,false_sharing_padded,NA,NA,NA,3,spread,cores,active,false,1000,0-11,3,280201,4366,3367,9583,5217,0.351351,0.645390,0,0.0020,ok,
86,false_sharing_padded,NA,NA,NA,3,spread,cores,active,false,10000,0-11,3,290598,4329,31006,54205,49876,0.572014,0.621662,0,0.0020,ok,
87,false_sharing_padded,NA,NA,NA,3,spread,cores,active,false,100000,0-11,3,336256,4588,319310,500795,496207,0.637606,0.643502,0,0.0023,ok,
88,false_sharing_padded,NA,NA,NA,3,spread,cores,active,false,1000000,0-11,3,274725,4292,2552038,1894585,1890293,1.347017,1.350075,0,0.0059,ok,
89,false_sharing_padded,NA,NA,NA,3,spread,cores,active,false,10000000,0-11,3,276834,4366,25284690,13295062,13290696,1.901811,1.902435,0,0.0347,ok,
90,false_sharing_padded,NA,NA,NA,4,close,cores,active,false,1000,0-11,4,342731,3441,4440,10175,6734,0.436364,0.659341,0,0.0017,ok,
91,false_sharing_padded,NA,NA,NA,4,close,cores,active,false,10000,0-11,4,370666,3071,41292,44511,41440,0.927681,0.996429,0,0.0020,ok,
92,false_sharing_padded,NA,NA,NA,4,close,cores,active,false,100000,0-11,4,332778,3145,425500,424649,421504,1.002004,1.009480,0,0.0022,ok,
93,false_sharing_padded,NA,NA,NA,4,close,cores,active,false,1000000,0-11,4,319606,3700,3415174,1940613,1936913,1.759843,1.763205,0,0.0063,ok,
94,false_sharing_padded,NA,NA,NA,4,close,cores,active,false,10000000,0-11,4,345987,3700,33905764,10962212,10958512,3.092967,3.094012,0,0.0403,ok,
95,false_sharing_padded,NA,NA,NA,4,spread,cores,active,false,1000,0-11,4,365190,4884,4440,10693,5809,0.415225,0.764331,0,0.0016,ok,
96,false_sharing_padded,NA,NA,NA,4,spread,cores,active,false,10000,0-11,4,343952,4810,41292,49025,44215,0.842264,0.933891,0,0.0019,ok,
97,false_sharing_padded,NA,NA,NA,4,spread,cores,active,false,100000,0-11,4,346690,4958,411292,428682,423724,0.959434,0.970660,0,0.0023,ok,
98,false_sharing_padded,NA,NA,NA,4,spread,cores,active,false,1000000,0-11,4,344322,4958,3434081,1697449,1692491,2.023083,2.029010,0,0.0065,ok,
99,false_sharing_padded,NA,NA,NA,4,spread,cores,active,false,10000000,0-11,4,383764,4736,33986868,11822573,11817837,2.874744,2.875896,0,0.0410,ok,
100,false_sharing_padded,NA,NA,NA,5,close,cores,active,false,1000,0-11,5,419580,3108,5587,8769,5661,0.637131,0.986928,0,0.0020,ok,
101,false_sharing_padded,NA,NA,NA,5,close,cores,active,false,10000,0-11,5,443556,3330,54316,46398,43068,1.170654,1.261168,0,0.0019,ok,
102,false_sharing_padded,NA,NA,NA,5,close,cores,active,false,100000,0-11,5,431309,3959,544344,348799,344840,1.560624,1.578541,0,0.0024,ok,
103,false_sharing_padded,NA,NA,NA,5,close,cores,active,false,1000000,0-11,5,427165,3959,4363262,1931548,1927589,2.258946,2.263585,0,0.0076,ok,
104,false_sharing_padded,NA,NA,NA,5,close,cores,active,false,10000000,0-11,5,444481,3922,43189212,11213035,11209113,3.851697,3.853045,0,0.0478,ok,
105,false_sharing_padded,NA,NA,NA,5,spread,cores,active,false,1000,0-11,5,503237,5106,5365,11063,5957,0.484950,0.900621,0,0.0022,ok,
106,false_sharing_padded,NA,NA,NA,5,spread,cores,active,false,10000,0-11,5,462685,5143,52096,58978,53835,0.883312,0.967698,0,0.0021,ok,
107,false_sharing_padded,NA,NA,NA,5,spread,cores,active,false,100000,0-11,5,457172,5587,550819,355422,349835,1.549761,1.574511,0,0.0024,ok,
108,false_sharing_padded,NA,NA,NA,5,spread,cores,active,false,1000000,0-11,5,492137,5365,4414914,1814998,1809633,2.432462,2.439674,0,0.0076,ok,
109,false_sharing_padded,NA,NA,NA,5,spread,cores,active,false,10000000,0-11,5,451067,5291,43775736,12350341,12345050,3.544496,3.546015,0,0.0496,ok,
110,false_sharing_padded,NA,NA,NA,6,close,cores,active,false,1000,0-11,6,552003,4033,6845,9768,5735,0.700758,1.193548,0,0.0019,ok,
111,false_sharing_padded,NA,NA,NA,6,close,cores,active,false,10000,0-11,6,463610,2849,57424,63381,60532,0.906013,0.948655,0,0.0026,ok,
112,false_sharing_padded,NA,NA,NA,6,close,cores,active,false,100000,0-11,6,542124,3034,616938,430051,427017,1.434569,1.444762,0,0.0037,ok,
113,false_sharing_padded,NA,NA,NA,6,close,cores,active,false,1000000,0-11,6,492063,3441,5461496,1814591,1811150,3.009767,3.015485,0,0.0089,ok,
114,false_sharing_padded,NA,NA,NA,6,close,cores,active,false,10000000,0-11,6,551078,3959,53395773,11816542,11812583,4.518731,4.520245,0,0.0574,ok,
115,false_sharing_padded,NA,NA,NA,6,spread,cores,active,false,1000,0-11,6,492285,4810,6475,12136,7326,0.533537,0.883838,0,0.0020,ok,
116,false_sharing_padded,NA,NA,NA,6,spread,cores,active,false,10000,0-11,6,537980,5513,68413,60754,55241,1.126066,1.238446,0,0.0015,ok,
117,false_sharing_padded,NA,NA,NA,6,spread,cores,active,false,100000,0-11,6,579272,5550,730602,406408,400858,1.797706,1.822596,0,0.0025,ok,
118,false_sharing_padded,NA,NA,NA,6,spread,cores,active,false,1000000,0-11,6,534983,5328,5475482,1864245,1858917,2.937104,2.945523,0,0.0086,ok,
119,false_sharing_padded,NA,NA,NA,6,spread,cores,active,false,10000000,0-11,6,554593,5550,53436251,13165821,13160271,4.058710,4.060422,0,0.0585,ok,
120,false_sharing_padded,NA,NA,NA,8,close,cores,active,false,1000,0-11,8,798904,5587,9361,10582,4995,0.884615,1.874074,0,0.0033,ok,
121,false_sharing_padded,NA,NA,NA,8,close,cores,active,false,10000,0-11,8,642727,4884,74259,63159,58275,1.175747,1.274286,0,0.0017,ok,
122,false_sharing_padded,NA,NA,NA,8,close,cores,active,false,100000,0-11,8,729566,6216,749805,558700,552484,1.342053,1.357152,0,0.0040,ok,
123,false_sharing_padded,NA,NA,NA,8,close,cores,active,false,1000000,0-11,8,650534,5069,7646124,2122542,2117473,3.602343,3.610966,0,0.0112,ok,
124,false_sharing_padded,NA,NA,NA,8,close,cores,active,false,10000000,0-11,8,705812,5698,73208015,15025959,15020261,4.872103,4.873951,0,0.0766,ok,
