combo_id,work_sharing,schedule_kind,schedule_chunk,task_chunk_size,num_threads,proc_bind,places,wait_policy,dynamic,iterations,cpu_set,num_threads_actual,pool_create,fork_join_min,serial_min,parallel_min,pure_parallel,speedup_total,speedup_pure,acc,wall_time_sec,status,stderr
0,parallel_for,static,0,NA,1,NA,NA,active,false,1000,auto,1,9472,2109,32856,36075,33966,0.910769,0.967320,336,0.0019,ok,
1,parallel_for,static,0,NA,1,NA,NA,active,false,10000,auto,1,6586,1850,712287,720908,719058,0.988041,0.990584,2458,0.0026,ok,
2,parallel_for,static,0,NA,1,NA,NA,active,false,100000,auto,1,7030,1850,14767958,14775506,14773656,0.999489,0.999614,19184,0.0262,ok,
3,parallel_for,static,0,NA,1,NA,NA,active,false,1000000,auto,1,7437,2368,360177684,360558451,360556083,0.998944,0.998951,156996,0.5880,ok,
4,parallel_for,static,0,NA,1,NA,NA,active,false,10000000,auto,1,7363,1850,9263533971,9264066660,9264064810,0.999942,0.999943,1329158,15.0321,ok,
5,parallel_for,static,0,NA,2,close,cores,active,false,1000,auto,2,210012,3589,37592,25160,21571,1.494118,1.742710,336,0.0017,ok,
6,parallel_for,static,0,NA,2,close,cores,active,false,10000,auto,2,162282,2849,715210,436119,433270,1.639942,1.650726,2458,0.0025,ok,
7,parallel_for,static,0,NA,2,close,cores,active,false,100000,auto,2,159248,3552,14774729,9051014,9047462,1.632384,1.633025,19184,0.0216,ok,
8,parallel_for,static,0,NA,2,close,cores,active,false,1000000,auto,2,143153,2627,361206654,223079216,223076589,1.619186,1.619205,156996,0.4758,ok,
9,parallel_for,static,0,NA,2,close,cores,active,false,10000000,auto,2,204240,2886,9246008699,5774980572,5774977686,1.601046,1.601047,1329158,12.1892,ok,
10,parallel_for,static,0,NA,4,close,cores,active,false,1000,auto,4,407555,3737,38517,16650,12913,2.313333,2.982808,336,0.0018,ok,
11,parallel_for,static,0,NA,4,close,cores,active,false,10000,auto,4,349613,3737,724423,294483,290746,2.459982,2.491601,2458,0.0024,ok,
12,parallel_for,static,0,NA,4,close,cores,active,false,100000,auto,4,331224,3663,14731957,4856028,4852365,3.033746,3.036036,19184,0.0187,ok,
13,parallel_for,static,0,NA,4,close,cores,active,false,1000000,auto,4,367336,3663,359782524,119716423,119712760,3.005290,3.005382,156996,0.3912,ok,
14,parallel_for,static,0,NA,4,close,cores,active,false,10000000,auto,4,390424,3700,9256095861,3096672524,3096668824,2.989046,2.989049,1329158,10.0267,ok,
15,parallel_for,static,0,NA,6,close,cores,active,false,1000,auto,6,553409,2405,33596,10471,8066,3.208481,4.165138,336,0.0018,ok,
16,parallel_for,static,0,NA,6,close,cores,active,false,10000,auto,6,470233,3515,890479,204610,201095,4.352080,4.428151,2458,0.0025,ok,
17,parallel_for,static,0,NA,6,close,cores,active,false,100000,auto,6,489843,3774,14753861,3290965,3287191,4.483141,4.488288,19184,0.0174,ok,
18,parallel_for,static,0,NA,6,close,cores,active,false,1000000,auto,6,522181,3774,360813270,81418870,81415096,4.431568,4.431774,156996,0.3626,ok,
19,parallel_for,static,0,NA,6,close,cores,active,false,10000000,auto,6,578310,3811,9286640286,2119466745,2119462934,4.381593,4.381601,1329158,9.2721,ok,
20,parallel_for,static,0,NA,8,close,cores,active,false,1000,auto,8,730010,5587,36556,13357,7770,2.736842,4.704762,336,0.0018,ok,
21,parallel_for,static,0,NA,8,close,cores,active,false,10000,auto,8,684500,5661,713360,123765,118104,5.763827,6.040100,2458,0.0024,ok,
22,parallel_for,static,0,NA,8,close,cores,active,false,100000,auto,8,640507,4810,15036985,2605392,2600582,5.771487,5.782161,19184,0.0165,ok,
23,parallel_for,static,0,NA,8,close,cores,active,false,1000000,auto,8,3066190,5402,380263652,64870287,64864885,5.861908,5.862396,156996,0.3643,ok,
24,parallel_for,static,0,NA,8,close,cores,active,false,10000000,auto,8,719317,4625,9758407047,1686180613,1686175988,5.787285,5.787300,1329158,9.2891,ok,
25,parallel_for,static,0,NA,12,close,cores,active,false,1000,auto,12,1219150,6290,35890,12765,6475,2.811594,5.542857,336,0.0019,ok,
26,parallel_for,static,0,NA,12,close,cores,active,false,10000,auto,12,1002330,6364,712213,101787,95423,6.997092,7.463746,2458,0.0022,ok,
27,parallel_for,static,0,NA,12,close,cores,active,false,100000,auto,12,1050097,6475,15730920,1783992,1777517,8.817820,8.849941,19184,0.0169,ok,
28,parallel_for,static,0,NA,12,close,cores,active,false,1000000,auto,12,1206681,6253,387892793,44341318,44335065,8.747886,8.749120,156996,0.3529,ok,
29,parallel_for,static,0,NA,12,close,cores,active,false,10000000,auto,12,1156139,5846,9964643049,1158826828,1158820982,8.598906,8.598949,1329158,9.0269,ok,
30,parallel_for,static,0,NA,16,close,cores,active,false,1000,auto,16,13527792,22188271,28564,22124927,-63344,0.001291,0.000000,336,0.2153,ok,
31,parallel_for,static,0,NA,16,close,cores,active,false,10000,auto,16,8524578,10989962,682946,20167331,9177369,0.033864,0.074416,2458,0.2069,ok,
32,parallel_for,static,0,NA,16,close,cores,active,false,100000,auto,16,10076432,22107130,15867228,9197978,-12909152,1.725078,0.000000,19184,0.2241,ok,
33,parallel_for,static,0,NA,16,close,cores,active,false,1000000,auto,16,7079247,18534521,388074907,66785259,48250738,5.810787,8.042880,156996,0.5736,ok,
34,parallel_for,static,0,NA,16,close,cores,active,false,10000000,auto,16,23847832,22185311,9966400771,1745239791,1723054480,5.710620,5.784147,1329158,9.7026,ok,
35,parallel_for,static,0,NA,24,close,cores,active,false,1000,auto,24,2761125,11655,36519,18685,7030,1.954455,5.194737,336,0.0025,ok,
36,parallel_for,static,0,NA,24,close,cores,active,false,10000,auto,24,2620562,10656,714803,108484,97828,6.589018,7.306732,2458,0.0041,ok,
37,parallel_for,static,0,NA,24,close,cores,active,false,100000,auto,24,2524880,10619,15570414,1755095,1744476,8.871551,8.925554,19184,0.0175,ok,
38,parallel_for,static,0,NA,24,close,cores,active,false,1000000,auto,24,2463682,11026,388296537,44259141,44248115,8.773251,8.775437,156996,0.3574,ok,
39,parallel_for,static,0,NA,24,close,cores,active,false,10000000,auto,24,2722867,10656,10001156980,1157020562,1157009906,8.643889,8.643968,1329158,9.1610,ok,
