combo_id,work_sharing,schedule_kind,schedule_chunk,task_chunk_size,num_threads,proc_bind,places,wait_policy,dynamic,iterations,cpu_set,num_threads_actual,pool_create,fork_join_min,serial_min,parallel_min,pure_parallel,speedup_total,speedup_pure,acc,wall_time_sec,status,stderr
0,parallel_for,static,0,NA,12,close,cores,active,false,10000000,NA,12,1704997,6068,9967884619,1160022890,1160016822,8.592834,8.592879,1329158,9.0307,ok,
1,parallel_for,static,1,NA,12,close,cores,active,false,10000000,NA,12,1792095,6438,9975196374,2518773816,2518767378,3.960338,3.960348,1329158,10.1413,ok,
2,parallel_for,static,64,NA,12,close,cores,active,false,10000000,NA,12,1503310,6512,9982182899,860778804,860772292,11.596688,11.596775,1329158,8.8067,ok,
3,parallel_for,static,1024,NA,12,close,cores,active,false,10000000,NA,12,1437820,6549,9982400496,837048299,837041750,11.925716,11.925810,1329158,8.7817,ok,
4,parallel_for,static,16384,NA,12,close,cores,active,false,10000000,NA,12,1510451,5698,9985712736,842704230,842698532,11.849606,11.849686,1329158,8.7846,ok,
5,parallel_for,static,262144,NA,12,close,cores,active,false,10000000,NA,12,1576163,6660,9987733565,1020321546,1020314886,9.788810,9.788874,1329158,8.9326,ok,
6,parallel_for,dynamic,0,NA,12,close,cores,active,false,10000000,NA,12,1314055,6142,9992496538,994943579,994937437,10.043280,10.043342,1329158,8.9129,ok,
7,parallel_for,dynamic,1,NA,12,close,cores,active,false,10000000,NA,12,1790985,6290,9989481149,995383250,995376960,10.035814,10.035877,1329158,8.9122,ok,
8,parallel_for,dynamic,64,NA,12,close,cores,active,false,10000000,NA,12,1467383,6290,9987641805,837993649,837987359,11.918517,11.918607,1329158,8.7879,ok,
9,parallel_for,dynamic,1024,NA,12,close,cores,active,false,10000000,NA,12,1742700,5735,9999063224,834953470,834947735,11.975593,11.975676,1329158,8.7907,ok,
10,parallel_for,dynamic,16384,NA,12,close,cores,active,false,10000000,NA,12,1634438,6475,9990006808,842640775,842634300,11.855594,11.855685,1329158,8.7928,ok,
11,parallel_for,dynamic,262144,NA,12,close,cores,active,false,10000000,NA,12,1486364,6623,9991097235,1019720666,1019714043,9.797877,9.797940,1329158,8.9315,ok,
12,parallel_for,guided,0,NA,12,close,cores,active,false,10000000,NA,12,1717355,6068,9989565398,834212693,834206625,11.974842,11.974929,1329158,8.7804,ok,
13,parallel_for,guided,1,NA,12,close,cores,active,false,10000000,NA,12,1363376,5513,9992203979,834252098,834246585,11.977439,11.977519,1329158,8.7843,ok,
14,parallel_for,guided,64,NA,12,close,cores,active,false,10000000,NA,12,1521403,6586,9994573237,834527008,834520422,11.976333,11.976427,1329158,8.7860,ok,
15,parallel_for,guided,1024,NA,12,close,cores,active,false,10000000,NA,12,1717725,6808,9991910680,835205218,835198410,11.963420,11.963517,1329158,8.7821,ok,
16,parallel_for,guided,16384,NA,12,close,cores,active,false,10000000,NA,12,2564729,6364,9992702924,841196369,841190005,11.879156,11.879246,1329158,8.7902,ok,
17,parallel_for,guided,262144,NA,12,close,cores,active,false,10000000,NA,12,1722831,5883,9988886041,1021197891,1021192008,9.781538,9.781594,1329158,8.9345,ok,
18,parallel_for,auto,NA,NA,12,close,cores,active,false,10000000,NA,12,1812852,5809,9992982718,1160858350,1160852541,8.608271,8.608314,1329158,9.0483,ok,
19,manual,NA,NA,NA,12,close,cores,active,false,10000000,NA,12,1449290,6401,9990531172,1160377868,1160371467,8.609722,8.609770,1329158,9.0461,ok,
20,tasks,NA,NA,0,12,close,cores,active,false,10000000,NA,12,1677358,6364,9994209934,1160887802,1160881438,8.609109,8.609156,1329158,9.0476,ok,
21,tasks,NA,NA,256,12,close,cores,active,false,10000000,NA,12,1705737,5698,9996048982,10005942856,10005937158,0.999011,0.999012,1329158,16.2221,ok,
22,tasks,NA,NA,8192,12,close,cores,active,false,10000000,NA,12,2638877,7252,9987744110,10005471883,10005464631,0.998228,0.998229,1329158,16.2206,ok,
23,tasks,NA,NA,65536,12,close,cores,active,false,10000000,NA,12,1758795,5550,9992924887,870226014,870220464,11.483137,11.483211,1329158,8.8134,ok,
24,tasks,NA,NA,524288,12,close,cores,active,false,10000000,NA,12,1490286,6253,9994785432,1198281926,1198275673,8.340930,8.340973,1329158,9.0825,ok,
