combo_id,work_sharing,schedule_kind,schedule_chunk,task_chunk_size,num_threads,proc_bind,places,wait_policy,dynamic,iterations,cpu_set,num_threads_actual,pool_create,fork_join_min,serial_min,parallel_min,pure_parallel,speedup_total,speedup_pure,acc,wall_time_sec,status,stderr
0,parallel_for,static,0,NA,12,close,cores,active,true,1000,NA,8,1216930,6993,34114,13727,6734,2.485175,5.065934,336,0.0015,ok,
1,parallel_for,static,0,NA,12,close,cores,active,true,10000,NA,8,794131,6919,837754,128723,121804,6.508192,6.877886,2458,0.0021,ok,
2,parallel_for,static,0,NA,12,close,cores,active,true,100000,NA,8,892958,7104,15604639,2633253,2626149,5.925993,5.942023,19184,0.0172,ok,
3,parallel_for,static,0,NA,12,close,cores,active,true,1000000,NA,8,1147037,6808,381779357,64993349,64986541,5.874130,5.874745,156996,0.3649,ok,
4,parallel_for,static,0,NA,12,close,cores,active,true,10000000,NA,8,793317,7511,9790237962,1690170915,1690163404,5.792454,5.792480,1329158,9.3175,ok,
5,parallel_for,static,0,NA,12,close,cores,active,false,1000,NA,12,1488806,6438,29674,10841,4403,2.737201,6.739496,336,0.0016,ok,
6,parallel_for,static,0,NA,12,close,cores,active,false,10000,NA,12,1353978,6401,721796,109520,103119,6.590541,6.999641,2458,0.0021,ok,
7,parallel_for,static,0,NA,12,close,cores,active,false,100000,NA,12,1628925,6623,15504369,1783400,1776777,8.693714,8.726120,19184,0.0159,ok,
8,parallel_for,static,0,NA,12,close,cores,active,false,1000000,NA,12,1576755,6771,388034577,44550812,44544041,8.709933,8.711257,156996,0.3525,ok,
9,parallel_for,static,0,NA,12,close,cores,active,false,10000000,NA,12,1630479,6327,9991836976,1162583512,1162577185,8.594511,8.594558,1329158,9.0511,ok,
10,parallel_for,static,0,NA,12,close,cores,passive,true,1000,NA,8,1303251,30710,34151,39553,8843,0.863424,3.861925,336,0.0020,ok,
11,parallel_for,static,0,NA,12,close,cores,passive,true,10000,NA,8,2273317,29193,824767,174122,144929,4.736719,5.690835,2458,0.0029,ok,
12,parallel_for,static,0,NA,12,close,cores,passive,true,100000,NA,8,2254299,31006,14967166,2866464,2835458,5.221474,5.278571,19184,0.0176,ok,
13,parallel_for,static,0,NA,12,close,cores,passive,true,1000000,NA,8,1103932,37444,360958384,64464286,64426842,5.599354,5.602609,156996,0.3486,ok,
14,parallel_for,static,0,NA,12,close,cores,passive,true,10000000,NA,8,1001960,32116,9244090619,1679131484,1679099368,5.505281,5.505386,1329158,8.8608,ok,
15,parallel_for,static,0,NA,12,close,cores,passive,false,1000,NA,12,1570465,37740,29896,34447,-3293,0.867884,0.000000,336,0.0021,ok,
16,parallel_for,static,0,NA,12,close,cores,passive,false,10000,NA,12,1352683,37555,712953,122285,84730,5.830257,8.414410,2458,0.0024,ok,
17,parallel_for,static,0,NA,12,close,cores,passive,false,100000,NA,12,1695562,34706,14785126,1965477,1930771,7.522411,7.657628,19184,0.0167,ok,
18,parallel_for,static,0,NA,12,close,cores,passive,false,1000000,NA,12,1664630,53724,360495773,43812921,43759197,8.228070,8.238172,156996,0.3346,ok,
19,parallel_for,static,0,NA,12,close,cores,passive,false,10000000,NA,12,1826172,34373,9241363201,1149412104,1149377731,8.040078,8.040319,1329158,8.4317,ok,
