combo_id,work_sharing,schedule_kind,schedule_chunk,task_chunk_size,num_threads,proc_bind,places,wait_policy,dynamic,iterations,cpu_set,num_threads_actual,pool_create,fork_join_min,serial_min,parallel_min,pure_parallel,speedup_total,speedup_pure,acc,wall_time_sec,status,stderr
0,cache_walk,NA,NA,NA,1,NA,NA,active,false,512,auto,1,8029,1850,15845472,15830302,15828452,1.000958,1.001075,0,0.0277,ok,
1,cache_walk,NA,NA,NA,1,NA,NA,active,false,1024,auto,1,6475,1850,15858718,15825973,15824123,1.002069,1.002186,0,0.0273,ok,
2,cache_walk,NA,NA,NA,1,NA,NA,active,false,2048,auto,1,5032,1406,15855980,15825455,15824049,1.001929,1.002018,0,0.0272,ok,
3,cache_walk,NA,NA,NA,1,NA,NA,active,false,4096,auto,1,6216,1776,16118199,16103510,16101734,1.000912,1.001023,0,0.0288,ok,
4,cache_walk,NA,NA,NA,1,NA,NA,active,false,8192,auto,1,6697,1850,29717697,29565775,29563925,1.005138,1.005201,0,0.0504,ok,
5,cache_walk,NA,NA,NA,1,NA,NA,active,false,16384,auto,1,6919,1850,35654606,35641175,35639325,1.000377,1.000429,0,0.0597,ok,
6,cache_walk,NA,NA,NA,1,NA,NA,active,false,32768,auto,1,6697,1813,42450063,42421832,42420019,1.000665,1.000708,0,0.0708,ok,
7,cache_walk,NA,NA,NA,1,NA,NA,active,false,65536,auto,1,6623,1887,72896142,75910902,75909015,0.960286,0.960309,0,0.1251,ok,
8,cache_walk,NA,NA,NA,1,NA,NA,active,false,131072,auto,1,7178,1850,119852583,120526760,120524910,0.994406,0.994422,0,0.1994,ok,
9,cache_walk,NA,NA,NA,1,NA,NA,active,false,262144,auto,1,7474,1517,148159840,148565138,148563621,0.997272,0.997282,0,0.2458,ok,
10,cache_walk,NA,NA,NA,1,NA,NA,active,false,524288,auto,1,8288,1887,150948826,150785212,150783325,1.001085,1.001098,0,0.2503,ok,
11,cache_walk,NA,NA,NA,1,NA,NA,active,false,1048576,auto,1,9250,1813,151909420,152387608,152385795,0.996862,0.996874,0,0.2553,ok,
12,cache_walk,NA,NA,NA,1,NA,NA,active,false,2097152,auto,1,7807,1813,305139925,305288221,305286408,0.999514,0.999520,0,0.5113,ok,
13,cache_walk,NA,NA,NA,1,NA,NA,active,false,4194304,auto,1,8473,1850,865864047,856765969,856764119,1.010619,1.010621,0,1.5346,ok,
14,cache_walk,NA,NA,NA,1,NA,NA,active,false,8388608,auto,1,7585,1850,7183412323,7173598147,7173596297,1.001368,1.001368,0,11.8857,ok,
15,cache_walk,NA,NA,NA,1,NA,NA,active,false,16777216,auto,1,7289,1517,19027341834,18975640957,18975639440,1.002725,1.002725,0,31.1574,ok,
