combo_id,work_sharing,schedule_kind,schedule_chunk,task_chunk_size,num_threads,proc_bind,places,wait_policy,dynamic,iterations,cpu_set,num_threads_actual,pool_create,fork_join_min,serial_min,parallel_min,pure_parallel,speedup_total,speedup_pure,acc,wall_time_sec,status,stderr
0,cache_walk_private,NA,NA,NA,12,false,NA,active,false,512,auto,12,975912,5698,203662541,17423004,17417306,11.689290,11.693114,0,0.1825,ok,
1,cache_walk_private,NA,NA,NA,12,false,NA,active,false,1024,auto,12,977725,6364,203460003,17381971,17375607,11.705232,11.709519,0,0.1816,ok,
2,cache_walk_private,NA,NA,NA,12,false,NA,active,false,2048,auto,12,823028,5809,207232412,17477986,17472177,11.856767,11.860709,0,0.1872,ok,
3,cache_walk_private,NA,NA,NA,12,false,NA,active,false,4096,auto,12,1086283,7178,205967678,17783347,17776169,11.582054,11.586730,0,0.2072,ok,
4,cache_walk_private,NA,NA,NA,12,false,NA,active,false,8192,auto,12,1000665,5476,389811132,32373964,32368488,12.040884,12.042921,0,0.3457,ok,
5,cache_walk_private,NA,NA,NA,12,false,NA,active,false,16384,auto,12,845487,5587,460904819,39998924,39993337,11.522930,11.524540,0,0.4153,ok,
6,cache_walk_private,NA,NA,NA,12,false,NA,active,false,32768,auto,12,1241609,5772,503193562,46091122,46085350,10.917364,10.918731,0,0.4529,ok,
7,cache_walk_private,NA,NA,NA,12,false,NA,active,false,65536,auto,12,901875,5550,654022064,76172862,76167312,8.586025,8.586650,0,0.6106,ok,
8,cache_walk_private,NA,NA,NA,12,close,threads,active,false,512,auto,12,1050245,6771,205275223,17511582,17504811,11.722255,11.726789,0,0.1832,ok,
9,cache_walk_private,NA,NA,NA,12,close,threads,active,false,1024,auto,12,999000,6512,205473728,17413939,17407427,11.799383,11.803797,0,0.1837,ok,
10,cache_walk_private,NA,NA,NA,12,close,threads,active,false,2048,auto,12,938986,5587,205030246,17507438,17501851,11.711037,11.714775,0,0.1831,ok,
11,cache_walk_private,NA,NA,NA,12,close,threads,active,false,4096,auto,12,926073,5143,206184942,18054224,18049081,11.420316,11.423570,0,0.1847,ok,
12,cache_walk_private,NA,NA,NA,12,close,threads,active,false,8192,auto,12,953934,5735,383467408,36417176,36411441,10.529850,10.531509,0,0.3456,ok,
13,cache_walk_private,NA,NA,NA,12,close,threads,active,false,16384,auto,12,1075368,6142,461257170,38663113,38656971,11.930161,11.932057,0,0.4169,ok,
14,cache_walk_private,NA,NA,NA,12,close,threads,active,false,32768,auto,12,1135493,6290,508498807,45673910,45667620,11.133244,11.134778,0,0.4557,ok,
15,cache_walk_private,NA,NA,NA,12,close,threads,active,false,65536,auto,12,1100713,5698,755575446,76760903,76755205,9.843233,9.843964,0,0.7073,ok,
16,cache_walk_private,NA,NA,NA,12,close,cores,active,false,512,auto,12,1003366,5994,206820343,17255431,17249437,11.985811,11.989976,0,0.1841,ok,
17,cache_walk_private,NA,NA,NA,12,close,cores,active,false,1024,auto,12,1126206,6253,207062952,18573926,18567673,11.148044,11.151799,0,0.1871,ok,
18,cache_walk_private,NA,NA,NA,12,close,cores,active,false,2048,auto,12,1030450,6216,205276111,17478282,17472066,11.744639,11.748817,0,0.1837,ok,
19,cache_walk_private,NA,NA,NA,12,close,cores,active,false,4096,auto,12,948236,6438,208090442,18069690,18063252,11.515994,11.520098,0,0.2001,ok,
20,cache_walk_private,NA,NA,NA,12,close,cores,active,false,8192,auto,12,1045731,6253,383825790,32495916,32489663,11.811509,11.813782,0,0.3409,ok,
21,cache_walk_private,NA,NA,NA,12,close,cores,active,false,16384,auto,12,944980,5550,461877475,38576348,38570798,11.973074,11.974797,0,0.4126,ok,
22,cache_walk_private,NA,NA,NA,12,close,cores,active,false,32768,auto,12,1025973,5957,518362822,49570084,49564127,10.457171,10.458427,0,0.4675,ok,
23,cache_walk_private,NA,NA,NA,12,close,cores,active,false,65536,auto,12,987456,5587,658794731,77461942,77456355,8.504754,8.505367,0,0.6039,ok,
24,cache_walk_private,NA,NA,NA,12,spread,threads,active,false,512,auto,12,989824,5994,205168848,17426889,17420895,11.773120,11.777170,0,0.1832,ok,
25,cache_walk_private,NA,NA,NA,12,spread,threads,active,false,1024,auto,12,910977,5883,205669606,17322956,17317073,11.872662,11.876696,0,0.1845,ok,
26,cache_walk_private,NA,NA,NA,12,spread,threads,active,false,2048,auto,12,948458,5402,209801322,17521165,17515763,11.974165,11.977858,0,0.1872,ok,
27,cache_walk_private,NA,NA,NA,12,spread,threads,active,false,4096,auto,12,1005327,6105,214696237,17835628,17829523,12.037492,12.041614,0,0.1912,ok,
28,cache_walk_private,NA,NA,NA,12,spread,threads,active,false,8192,auto,12,957116,5735,383822090,32466279,32460544,11.822177,11.824265,0,0.3407,ok,
29,cache_walk_private,NA,NA,NA,12,spread,threads,active,false,16384,auto,12,1038923,5661,461025217,38719908,38714247,11.906671,11.908412,0,0.4097,ok,
30,cache_walk_private,NA,NA,NA,12,spread,threads,active,false,32768,auto,12,1134605,6734,504587574,43728302,43721568,11.539153,11.540930,0,0.4506,ok,
31,cache_walk_private,NA,NA,NA,12,spread,threads,active,false,65536,auto,12,1012468,5254,673429119,83616707,83611453,8.053763,8.054269,0,0.6347,ok,
32,cache_walk_private,NA,NA,NA,12,spread,cores,active,false,512,auto,12,1135308,6105,206099620,17957728,17951623,11.476932,11.480835,0,0.1845,ok,
33,cache_walk_private,NA,NA,NA,12,spread,cores,active,false,1024,auto,12,3340286,6549,205968122,17508733,17502184,11.763737,11.768138,0,0.1851,ok,
34,cache_walk_private,NA,NA,NA,12,spread,cores,active,false,2048,auto,12,1123061,6364,205764955,17552874,17546510,11.722579,11.726831,0,0.1843,ok,
35,cache_walk_private,NA,NA,NA,12,spread,cores,active,false,4096,auto,12,1175712,6475,206938336,18025734,18019259,11.480161,11.484287,0,0.1867,ok,
36,cache_walk_private,NA,NA,NA,12,spread,cores,active,false,8192,auto,12,1196876,6438,384470515,32529845,32523407,11.819009,11.821348,0,0.3430,ok,
37,cache_walk_private,NA,NA,NA,12,spread,cores,active,false,16384,auto,12,1216486,5624,461093593,39138119,39132495,11.781189,11.782883,0,0.4109,ok,
38,cache_walk_private,NA,NA,NA,12,spread,cores,active,false,32768,auto,12,1201649,6549,505196113,47955182,47948633,10.534755,10.536194,0,0.4586,ok,
39,cache_walk_private,NA,NA,NA,12,spread,cores,active,false,65536,auto,12,1224774,6512,666093314,79620707,79614195,8.365830,8.366514,0,0.6434,ok,
40,cache_walk_private,NA,NA,NA,24,false,NA,active,false,512,auto,24,2008804,9435,411465863,29272846,29263411,14.056230,14.060762,0,0.3600,ok,
41,cache_walk_private,NA,NA,NA,24,false,NA,active,false,1024,auto,24,2253522,10804,409137416,29897295,29886491,13.684764,13.689711,0,0.3947,ok,
42,cache_walk_private,NA,NA,NA,24,false,NA,active,false,2048,auto,24,2124725,11137,409356049,29756140,29745003,13.757028,13.762179,0,0.3849,ok,
43,cache_walk_private,NA,NA,NA,24,false,NA,active,false,4096,auto,24,10843035,10212,420291140,34289010,34278798,12.257313,12.260965,0,0.4315,ok,
44,cache_walk_private,NA,NA,NA,24,false,NA,active,false,8192,auto,24,1875382,9213,770989387,43807482,43798269,17.599491,17.603193,0,0.7364,ok,
45,cache_walk_private,NA,NA,NA,24,false,NA,active,false,16384,auto,24,1991414,9768,929271169,46233350,46223582,20.099585,20.103833,0,0.8088,ok,
46,cache_walk_private,NA,NA,NA,24,false,NA,active,false,32768,auto,24,1876825,9287,1013065661,101682290,101673003,9.963049,9.963959,0,0.9540,ok,
