combo_id,work_sharing,schedule_kind,schedule_chunk,task_chunk_size,num_threads,proc_bind,places,wait_policy,dynamic,iterations,cpu_set,num_threads_actual,pool_create,fork_join_min,serial_min,parallel_min,pure_parallel,speedup_total,speedup_pure,acc,wall_time_sec,status,stderr
0,parallel_for,static,0,NA,2,close,cores,active,false,10000000,0-11,2,188182,2923,9243385658,5774231840,5774228917,1.600799,1.600800,1329158,12.1870,ok,
1,parallel_for,static,0,NA,2,spread,cores,active,false,10000000,0-11,2,258889,3293,9542538687,5991005960,5991002667,1.592811,1.592812,1329158,12.6094,ok,
2,parallel_for,static,0,NA,3,close,cores,active,false,10000000,0-11,3,281644,3145,9248596109,4041511998,4041508853,2.288400,2.288402,1329158,10.7885,ok,
3,parallel_for,static,0,NA,3,spread,cores,active,false,10000000,0-11,3,341695,3885,9682686362,4245707672,4245703787,2.280582,2.280585,1329158,11.3053,ok,
4,parallel_for,static,0,NA,4,close,cores,active,false,10000000,0-11,4,383801,2590,9257849735,3116086572,3116083982,2.970986,2.970989,1329158,10.0488,ok,
5,parallel_for,static,0,NA,4,spread,cores,active,false,10000000,0-11,4,422947,5143,9701636541,3253935104,3253929961,2.981509,2.981514,1329158,10.5148,ok,
6,parallel_for,static,0,NA,5,close,cores,active,false,10000000,0-11,5,407037,3811,9287288933,2520284267,2520280456,3.685016,3.685022,1329158,9.5832,ok,
7,parallel_for,static,0,NA,5,spread,cores,active,false,10000000,0-11,5,479816,4773,9836826290,2672978013,2672973240,3.680100,3.680107,1329158,10.1553,ok,
8,parallel_for,static,0,NA,6,close,cores,active,false,10000000,0-11,6,563621,3552,9305856014,2123565568,2123562016,4.382184,4.382192,1329158,9.2827,ok,
9,parallel_for,static,0,NA,6,spread,cores,active,false,10000000,0-11,6,598142,5106,9858320182,2248337486,2248332380,4.384715,4.384725,1329158,9.8224,ok,
