combo_id,work_sharing,schedule_kind,schedule_chunk,task_chunk_size,num_threads,proc_bind,places,wait_policy,dynamic,iterations,cpu_set,num_threads_actual,pool_create,fork_join_min,serial_min,parallel_min,pure_parallel,speedup_total,speedup_pure,acc,wall_time_sec,status,stderr
0,cache_walk_private,NA,NA,NA,2,close,cores,active,false,4096,0-11,2,201724,2849,33266811,16577073,16574224,2.006796,2.007141,0,0.0431,ok,
1,cache_walk_private,NA,NA,NA,2,close,cores,active,false,65536,0-11,2,143930,2775,149730823,77344652,77341877,1.935891,1.935961,0,0.1943,ok,
2,cache_walk_private,NA,NA,NA,2,close,cores,active,false,524288,0-11,2,178673,2849,290944283,152851884,152849035,1.903439,1.903475,0,0.3695,ok,
3,cache_walk_private,NA,NA,NA,2,spread,cores,active,false,4096,0-11,2,291375,4514,34298334,17233046,17228532,1.990265,1.990787,0,0.0444,ok,
4,cache_walk_private,NA,NA,NA,2,spread,cores,active,false,65536,0-11,2,232582,4551,137661756,72622379,72617828,1.895583,1.895702,0,0.1812,ok,
5,cache_walk_private,NA,NA,NA,2,spread,cores,active,false,524288,0-11,2,227328,4403,300513408,155146809,155142406,1.936962,1.937017,0,0.3819,ok,
6,cache_walk_private,NA,NA,NA,3,close,cores,active,false,4096,0-11,3,343989,2294,47653447,16645856,16643562,2.862781,2.863176,0,0.0553,ok,
7,cache_walk_private,NA,NA,NA,3,close,cores,active,false,65536,0-11,3,228549,2590,218613057,74389499,74386909,2.938762,2.938865,0,0.2484,ok,
8,cache_walk_private,NA,NA,NA,3,close,cores,active,false,524288,0-11,3,327783,3626,437152040,152022048,152018422,2.875583,2.875652,0,0.4997,ok,
9,cache_walk_private,NA,NA,NA,3,spread,cores,active,false,4096,0-11,3,356347,4440,50026849,16789934,16785494,2.979574,2.980362,0,0.0561,ok,
10,cache_walk_private,NA,NA,NA,3,spread,cores,active,false,65536,0-11,3,415658,4921,223536980,77000996,76996075,2.903040,2.903226,0,0.2482,ok,
11,cache_walk_private,NA,NA,NA,3,spread,cores,active,false,524288,0-11,3,305768,4292,451674651,158050717,158046425,2.857783,2.857861,0,0.5090,ok,
12,cache_walk_private,NA,NA,NA,4,close,cores,active,false,4096,0-11,4,426499,2738,63661275,15940007,15937269,3.993805,3.994491,0,0.0669,ok,
13,cache_walk_private,NA,NA,NA,4,close,cores,active,false,65536,0-11,4,359973,3478,274316705,78081618,78078140,3.513205,3.513361,0,0.2971,ok,
14,cache_walk_private,NA,NA,NA,4,close,cores,active,false,524288,0-11,4,355126,3441,571205112,156127420,156123979,3.658583,3.658664,0,0.6082,ok,
15,cache_walk_private,NA,NA,NA,4,spread,cores,active,false,4096,0-11,4,504791,4773,67614096,16802070,16797297,4.024153,4.025296,0,0.0724,ok,
16,cache_walk_private,NA,NA,NA,4,spread,cores,active,false,65536,0-11,4,405483,4884,304960142,79901870,79896986,3.816683,3.816917,0,0.3171,ok,
17,cache_walk_private,NA,NA,NA,4,spread,cores,active,false,524288,0-11,4,477411,4958,598499901,158531939,158526981,3.775264,3.775382,0,0.6340,ok,
18,cache_walk_private,NA,NA,NA,5,close,cores,active,false,4096,0-11,5,493321,3663,79596139,16119457,16115794,4.937892,4.939014,0,0.0807,ok,
19,cache_walk_private,NA,NA,NA,5,close,cores,active,false,65536,0-11,5,485144,3589,350001870,74132571,74128982,4.721297,4.721525,0,0.3499,ok,
20,cache_walk_private,NA,NA,NA,5,close,cores,active,false,524288,0-11,5,468642,3700,730119668,152777662,152773962,4.778969,4.779084,0,0.7426,ok,
21,cache_walk_private,NA,NA,NA,5,spread,cores,active,false,4096,0-11,5,611573,5143,84371951,16944594,16939451,4.979284,4.980796,0,0.0848,ok,
22,cache_walk_private,NA,NA,NA,5,spread,cores,active,false,65536,0-11,5,633514,5032,404745368,84797007,84791975,4.773109,4.773392,0,0.4187,ok,
23,cache_walk_private,NA,NA,NA,5,spread,cores,active,false,524288,0-11,5,578384,5180,798221979,160907302,160902122,4.960757,4.960916,0,0.8068,ok,
24,cache_walk_private,NA,NA,NA,6,close,cores,active,false,4096,0-11,6,657712,3996,98505211,19492895,19488899,5.053391,5.054427,0,0.1065,ok,
25,cache_walk_private,NA,NA,NA,6,close,cores,active,false,65536,0-11,6,567506,3663,441153072,81950227,81946564,5.383183,5.383424,0,0.4311,ok,
26,cache_walk_private,NA,NA,NA,6,close,cores,active,false,524288,0-11,6,533984,2886,887568543,155106775,155103889,5.722307,5.722413,0,0.8717,ok,
27,cache_walk_private,NA,NA,NA,6,spread,cores,active,false,4096,0-11,6,713249,5402,101805315,32257007,32251605,3.156068,3.156597,0,0.1130,ok,
28,cache_walk_private,NA,NA,NA,6,spread,cores,active,false,65536,0-11,6,584896,5217,468986618,82811365,82806148,5.663312,5.663669,0,0.4544,ok,
29,cache_walk_private,NA,NA,NA,6,spread,cores,active,false,524288,0-11,6,585044,5402,921812598,161460489,161455087,5.709215,5.709406,0,0.9170,ok,
