combo_id,work_sharing,schedule_kind,schedule_chunk,task_chunk_size,num_threads,proc_bind,places,wait_policy,dynamic,iterations,cpu_set,num_threads_actual,pool_create,fork_join_min,serial_min,parallel_min,pure_parallel,speedup_total,speedup_pure,acc,wall_time_sec,status,stderr
0,false_sharing,NA,NA,NA,2,close,cores,active,false,1000,0-11,2,241610,3441,3922,9768,6327,0.401515,0.619883,0,0.0015,ok,
1,false_sharing,NA,NA,NA,2,close,cores,active,false,10000,0-11,2,202834,2849,39812,720205,717356,0.055279,0.055498,0,0.0020,ok,
2,false_sharing,NA,NA,NA,2,close,cores,active,false,100000,0-11,2,172050,3441,385873,6457721,6454280,0.059754,0.059786,0,0.0075,ok,
3,false_sharing,NA,NA,NA,2,close,cores,active,false,1000000,0-11,2,191549,3515,3412214,60869588,60866073,0.056058,0.056061,0,0.0552,ok,
4,false_sharing,NA,NA,NA,2,close,cores,active,false,10000000,0-11,2,182780,2849,16172774,632500829,632497980,0.025570,0.025570,0,0.5341,ok,
5,false_sharing,NA,NA,NA,2,spread,cores,active,false,1000,0-11,2,260036,3552,3774,11988,8436,0.314815,0.447368,0,0.0016,ok,
6,false_sharing,NA,NA,NA,2,spread,cores,active,false,10000,0-11,2,179117,4107,42883,74185,70078,0.578055,0.611932,0,0.0015,ok,
7,false_sharing,NA,NA,NA,2,spread,cores,active,false,100000,0-11,2,177970,4403,429274,593369,588966,0.723452,0.728860,0,0.0022,ok,
8,false_sharing,NA,NA,NA,2,spread,cores,active,false,1000000,0-11,2,189514,4107,1979574,5147144,5143037,0.384597,0.384904,0,0.0087,ok,
9,false_sharing,NA,NA,NA,2,spread,cores,active,false,10000000,0-11,2,192844,4366,20032762,55530636,55526270,0.360752,0.360780,0,0.0680,ok,
10,false_sharing,NA,NA,NA,3,close,cores,active,false,1000,0-11,3,351611,3515,4625,86543,83028,0.053442,0.055704,0,0.0017,ok,
11,false_sharing,NA,NA,NA,3,close,cores,active,false,10000,0-11,3,311096,3552,45214,1011210,1007658,0.044713,0.044870,0,0.0026,ok,
12,false_sharing,NA,NA,NA,3,close,cores,active,false,100000,0-11,3,294520,3589,308506,9362406,9358817,0.032952,0.032964,0,0.0098,ok,
13,false_sharing,NA,NA,NA,3,close,cores,active,false,1000000,0-11,3,267732,3478,3330148,88178770,88175292,0.037766,0.037767,0,0.0764,ok,
14,false_sharing,NA,NA,NA,3,close,cores,active,false,10000000,0-11,3,290598,3589,24394322,883507238,883503649,0.027611,0.027611,0,0.7408,ok,
15,false_sharing,NA,NA,NA,3,spread,cores,active,false,1000,0-11,3,397158,4403,6845,56277,51874,0.121631,0.131954,0,0.0017,ok,
16,false_sharing,NA,NA,NA,3,spread,cores,active,false,10000,0-11,3,287638,4329,77552,625744,621415,0.123936,0.124799,0,0.0024,ok,
17,false_sharing,NA,NA,NA,3,spread,cores,active,false,100000,0-11,3,274947,4366,620934,6266579,6262213,0.099087,0.099156,0,0.0072,ok,
18,false_sharing,NA,NA,NA,3,spread,cores,active,false,1000000,0-11,3,324712,4736,3319122,57466550,57461814,0.057757,0.057762,0,0.0542,ok,
19,false_sharing,NA,NA,NA,3,spread,cores,active,false,10000000,0-11,3,339549,4625,29555674,610942631,610938006,0.048377,0.048378,0,0.5274,ok,
20,false_sharing,NA,NA,NA,4,close,cores,active,false,1000,0-11,4,456247,3626,7252,152255,148629,0.047631,0.048793,0,0.0019,ok,
21,false_sharing,NA,NA,NA,4,close,cores,active,false,10000,0-11,4,396418,3663,58608,1371220,1367557,0.042742,0.042856,0,0.0032,ok,
22,false_sharing,NA,NA,NA,4,close,cores,active,false,100000,0-11,4,376142,3700,708846,12115983,12112283,0.058505,0.058523,0,0.0129,ok,
23,false_sharing,NA,NA,NA,4,close,cores,active,false,1000000,0-11,4,357050,3700,4311351,119341058,119337358,0.036126,0.036127,0,0.1033,ok,
24,false_sharing,NA,NA,NA,4,close,cores,active,false,10000000,0-11,4,380878,3737,32040631,1212360944,1212357207,0.026428,0.026428,0,1.0242,ok,
25,false_sharing,NA,NA,NA,4,spread,cores,active,false,1000,0-11,4,447737,4847,8769,43882,39035,0.199831,0.224645,0,0.0018,ok,
26,false_sharing,NA,NA,NA,4,spread,cores,active,false,10000,0-11,4,429644,5106,83102,1971545,1966439,0.042151,0.042260,0,0.0033,ok,
27,false_sharing,NA,NA,NA,4,spread,cores,active,false,100000,0-11,4,358493,4625,864579,16585546,16580921,0.052128,0.052143,0,0.0159,ok,
28,false_sharing,NA,NA,NA,4,spread,cores,active,false,1000000,0-11,4,424723,4995,4512705,176114487,176109492,0.025624,0.025624,0,0.1513,ok,
29,false_sharing,NA,NA,NA,4,spread,cores,active,false,10000000,0-11,4,670181,4736,38932695,1752326586,1752321850,0.022218,0.022218,0,1.4591,ok,
30,false_sharing,NA,NA,NA,5,close,cores,active,false,1000,0-11,5,3071999,3996,9990,183002,179006,0.054590,0.055808,0,0.0028,ok,
31,false_sharing,NA,NA,NA,5,close,cores,active,false,10000,0-11,5,493321,3885,64343,2422575,2418690,0.026560,0.026602,0,0.0037,ok,
32,false_sharing,NA,NA,NA,5,close,cores,active,false,100000,0-11,5,421393,3404,1012690,15444355,15440951,0.065570,0.065585,0,0.0156,ok,
33,false_sharing,NA,NA,NA,5,close,cores,active,false,1000000,0-11,5,357420,2590,4585817,152768338,152765748,0.030018,0.030019,0,0.1319,ok,
34,false_sharing,NA,NA,NA,5,close,cores,active,false,10000000,0-11,5,654752,4403,40565875,1542705935,1542701532,0.026295,0.026295,0,1.2915,ok,
35,false_sharing,NA,NA,NA,5,spread,cores,active,false,1000,0-11,5,487179,4625,9472,195249,190624,0.048512,0.049689,0,0.0020,ok,
36,false_sharing,NA,NA,NA,5,spread,cores,active,false,10000,0-11,5,479372,4514,84508,2264400,2259886,0.037320,0.037395,0,0.0036,ok,
37,false_sharing,NA,NA,NA,5,spread,cores,active,false,100000,0-11,5,456950,5143,854959,15455677,15450534,0.055317,0.055335,0,0.0187,ok,
38,false_sharing,NA,NA,NA,5,spread,cores,active,false,1000000,0-11,5,577940,5291,4505712,213665713,213660422,0.021088,0.021088,0,0.1819,ok,
39,false_sharing,NA,NA,NA,5,spread,cores,active,false,10000000,0-11,5,458245,4588,44136745,2157131043,2157126455,0.020461,0.020461,0,1.8130,ok,
40,false_sharing,NA,NA,NA,6,close,cores,active,false,1000,0-11,6,658452,3848,13135,262256,258408,0.050085,0.050830,0,0.0019,ok,
41,false_sharing,NA,NA,NA,6,close,cores,active,false,10000,0-11,6,518259,4033,129722,2030449,2026416,0.063888,0.064015,0,0.0034,ok,
42,false_sharing,NA,NA,NA,6,close,cores,active,false,100000,0-11,6,498094,2664,1036407,18084194,18081530,0.057310,0.057319,0,0.0188,ok,
43,false_sharing,NA,NA,NA,6,close,cores,active,false,1000000,0-11,6,589040,3774,5081543,181358608,181354834,0.028019,0.028020,0,0.1567,ok,
44,false_sharing,NA,NA,NA,6,close,cores,active,false,10000000,0-11,6,681392,4477,48835190,1825502855,1825498378,0.026752,0.026752,0,1.5288,ok,
45,false_sharing,NA,NA,NA,6,spread,cores,active,false,1000,0-11,6,541828,4662,10434,260332,255670,0.040080,0.040810,0,0.0021,ok,
46,false_sharing,NA,NA,NA,6,spread,cores,active,false,10000,0-11,6,568061,5624,141414,2582230,2576606,0.054764,0.054884,0,0.0040,ok,
47,false_sharing,NA,NA,NA,6,spread,cores,active,false,100000,0-11,6,602101,5439,1044843,25138688,25133249,0.041563,0.041572,0,0.0233,ok,
48,false_sharing,NA,NA,NA,6,spread,cores,active,false,1000000,0-11,6,638842,5402,6724232,250146862,250141460,0.026881,0.026882,0,0.2141,ok,
49,false_sharing,NA,NA,NA,6,spread,cores,active,false,10000000,0-11,6,615791,5661,57440983,2529710683,2529705022,0.022707,0.022707,0,2.1185,ok,
50,false_sharing,NA,NA,NA,8,close,cores,active,false,1000,0-11,8,749435,4847,16502,372368,367521,0.044316,0.044901,0,0.0022,ok,
51,false_sharing,NA,NA,NA,8,close,cores,active,false,10000,0-11,8,724941,5735,207459,3402816,3397081,0.060967,0.061070,0,0.0049,ok,
52,false_sharing,NA,NA,NA,8,close,cores,active,false,100000,0-11,8,643948,5328,1795055,30405268,30399940,0.059038,0.059048,0,0.0278,ok,
53,false_sharing,NA,NA,NA,8,close,cores,active,false,1000000,0-11,8,1071372,5476,7715610,300514296,300508820,0.025675,0.025675,0,0.2555,ok,
54,false_sharing,NA,NA,NA,8,close,cores,active,false,10000000,0-11,8,802271,5624,68325125,3075682720,3075677096,0.022215,0.022215,0,2.5568,ok,
55,false_sharing,NA,NA,NA,8,spread,cores,active,false,1000,0-11,8,865134,5883,19092,288119,282236,0.066264,0.067646,0,0.0020,ok,
56,false_sharing,NA,NA,NA,8,spread,cores,active,false,10000,0-11,8,836237,5661,189033,3475188,3469527,0.054395,0.054484,0,0.0047,ok,
57,false_sharing,NA,NA,NA,8,spread,cores,active,false,100000,0-11,8,776519,5587,1618528,32473938,32468351,0.049841,0.049849,0,0.0298,ok,
58,false_sharing,NA,NA,NA,8,spread,cores,active,false,1000000,0-11,8,1013615,5180,8234350,333592296,333587116,0.024684,0.024684,0,0.2832,ok,
59,false_sharing,NA,NA,NA,8,spread,cores,active,false,10000000,0-11,8,722240,5217,70093762,3309655735,3309650518,0.021179,0.021179,0,2.7698,ok,
60,false_sharing,NA,NA,NA,12,close,cores,active,false,1000,0-11,12,1051059,6068,19388,333629,327561,0.058112,0.059189,0,0.0022,ok,
61,false_sharing,NA,NA,NA,12,close,cores,active,false,10000,0-11,12,1181447,6586,259851,3038625,3032039,0.085516,0.085702,0,0.0046,ok,
62,false_sharing,NA,NA,NA,12,close,cores,active,false,100000,0-11,12,1086986,6290,2115401,28174686,28168396,0.075082,0.075098,0,0.0275,ok,
